option_code,trade_date,close,volume,amount,open_interest
90006113.SZ,2025-12-10,0.0469,15.0,0.646442,1777.0
90006253.SZ,2025-12-10,0.0011,443.0,0.475363,6735.0
90006254.SZ,2025-12-10,0.64,134.0,91.517314,777.0
90006255.SZ,2025-12-10,0.0236,685.0,14.828558,3489.0
90006256.SZ,2025-12-10,0.717,1.0,0.72797,1490.0
90006393.SZ,2025-12-10,0.0006,15804.0,8.111942,3685.0
90006394.SZ,2025-12-10,0.8959,130.0,121.263574,514.0
90006395.SZ,2025-12-10,0.013,387.0,4.708555,1363.0
90006417.SZ,2025-12-10,0.0004,897.0,0.300833,7703.0
90006418.SZ,2025-12-10,1.1323,8.0,9.276796,407.0
90006419.SZ,2025-12-10,0.008,3231.0,22.910448,3572.0
90006477.SZ,2025-12-10,0.489,10.0,4.964817,383.0
90006479.SZ,2025-12-10,0.357,295.0,101.414357,398.0
90006480.SZ,2025-12-10,0.2918,60.0,17.693633,657.0
90006481.SZ,2025-12-10,0.2408,143.0,33.890003,600.0
90006482.SZ,2025-12-10,0.2006,45.0,8.904384,319.0
90006483.SZ,2025-12-10,0.1661,108.0,17.501741,718.0
90006484.SZ,2025-12-10,0.0988,259.0,25.39245,1133.0
90006485.SZ,2025-12-10,0.0587,187.0,10.326718,548.0
90006486.SZ,2025-12-10,0.094,2.0,0.196968,315.0
90006487.SZ,2025-12-10,0.1205,309.0,38.813498,992.0
90006488.SZ,2025-12-10,0.1606,56.0,9.124095,180.0
90006489.SZ,2025-12-10,0.198,50.0,10.233513,847.0
90006490.SZ,2025-12-10,0.2433,70.0,17.833643,460.0
90006491.SZ,2025-12-10,0.3088,10.0,3.135246,461.0
90006492.SZ,2025-12-10,0.3657,20.0,7.425904,558.0
90006493.SZ,2025-12-10,0.5319,2.0,1.080076,354.0
90006494.SZ,2025-12-10,0.7508,5.0,3.811436,219.0
90006513.SZ,2025-12-10,0.0372,393.0,12.925987,842.0
90006514.SZ,2025-12-10,0.9588,6.0,5.977883,150.0
90006523.SZ,2025-12-10,0.0234,92.0,1.943284,870.0
90006524.SZ,2025-12-10,1.1998,10.0,12.181569,192.0
90006625.SZ,2025-12-10,0.566,25.0,14.298978,55.0
90006626.SZ,2025-12-10,0.0715,4.0,0.293422,215.0
90006671.SZ,2025-12-10,0.4409,81.0,35.793488,115.0
90006672.SZ,2025-12-10,0.3496,47.0,16.544618,538.0
90006673.SZ,2025-12-10,0.262,370.0,89.567126,1452.0
90006674.SZ,2025-12-10,0.1806,556.0,95.337076,1186.0
90006675.SZ,2025-12-10,0.122,354.0,40.244563,1102.0
90006676.SZ,2025-12-10,0.0746,202.0,13.72513,908.0
90006677.SZ,2025-12-10,0.0422,384.0,14.723982,1719.0
90006678.SZ,2025-12-10,0.0106,1021.0,9.675707,1183.0
90006679.SZ,2025-12-10,0.0035,160.0,0.498005,1012.0
90006680.SZ,2025-12-10,0.0092,260.0,2.63714,611.0
90006681.SZ,2025-12-10,0.0163,89.0,1.730782,2128.0
90006682.SZ,2025-12-10,0.0297,571.0,18.596641,1151.0
90006683.SZ,2025-12-10,0.051,121.0,6.856422,783.0
90006684.SZ,2025-12-10,0.0884,250.0,24.422432,951.0
90006685.SZ,2025-12-10,0.135,196.0,29.272317,642.0
90006686.SZ,2025-12-10,0.2086,426.0,92.710597,650.0
90006687.SZ,2025-12-10,0.4124,54.0,22.606974,291.0
90006688.SZ,2025-12-10,0.6523,20.0,13.245604,46.0
90006711.SZ,2025-12-10,0.3767,41.0,14.2777,70.0
90006712.SZ,2025-12-10,0.2776,116.0,28.6755,209.0
90006713.SZ,2025-12-10,0.1741,2182.0,343.684,677.0
90006714.SZ,2025-12-10,0.0926,17380.0,1399.6378,2776.0
90006715.SZ,2025-12-10,0.0359,19759.0,577.011,7768.0
90006716.SZ,2025-12-10,0.0104,7394.0,63.991,5588.0
90006717.SZ,2025-12-10,0.0029,3943.0,8.8929,5442.0
90006718.SZ,2025-12-10,0.0009,316.0,0.2844,1912.0
90006719.SZ,2025-12-10,0.0007,530.0,0.3288,1778.0
90006720.SZ,2025-12-10,0.0009,1529.0,1.7836,1102.0
90006721.SZ,2025-12-10,0.0023,3378.0,10.5038,1416.0
90006722.SZ,2025-12-10,0.0077,5913.0,57.4405,3689.0
90006723.SZ,2025-12-10,0.0248,11303.0,333.9616,4456.0
90006724.SZ,2025-12-10,0.0682,18723.0,1457.4938,5923.0
90006725.SZ,2025-12-10,0.1433,10684.0,1702.6842,2805.0
90006726.SZ,2025-12-10,0.2261,462.0,117.3965,688.0
90006727.SZ,2025-12-10,0.4827,140.0,69.8977,204.0
