etf_code,strategy_name,strategy_label,delta_buyback_threshold,delta_buyback_label,early_close_rule,early_close_parameter,early_close_label,cycle_count,selected_cycle_count,buyback_count,buyback_rate,baseline_assignment_count,residual_assignment_count,baseline_net_option_yield_sum,delta_buyback_net_option_yield_sum,net_option_yield_change_sum,baseline_strategy_return_sum,delta_buyback_strategy_return_sum,strategy_return_change_sum,baseline_upside_cost_sum,delta_buyback_close_cost_sum,added_buyback_cost_sum,triggered_cycle_strategy_change_median
159915,D40_Q100,D40 / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,19,0.4318181818181818,17,3,-0.449025298805809,-0.247460195285315,0.20156510352049398,0.2942885689495629,0.49585367247005724,0.2015651035204944,1.2223506287977959,0.9964659903730801,0.02431953490422196,-0.008121116928446678
159915,D40_Q100,D40 / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,14,0.3181818181818182,17,5,-0.449025298805809,-0.11944706911463532,0.32957822969117356,0.2942885689495629,0.6238667986407369,0.329578229691174,1.2223506287977959,0.8735882956203197,0.01918410348630296,0.02651331428574248
159915,D40_Q100,D40 / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,11,0.25,17,7,-0.449025298805809,-0.48274306566886177,-0.03371776686305274,0.2942885689495629,0.26057080208651034,-0.03371776686305253,1.2223506287977959,1.2320279024999392,0.024040493160909938,-0.013191942990110436
159915,D50_Q100,D50 / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,25,0.5681818181818182,19,2,-0.5488506031002278,-0.31325600597974324,0.23559459712048458,0.19446326465514358,0.4300578617756293,0.23559459712048572,1.6360528768263463,1.3694092244344025,0.031049055271459482,-0.008121116928446678
159915,D50_Q100,D50 / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,19,0.4318181818181818,19,3,-0.5488506031002278,-0.25379341197057237,0.2950571911296554,0.19446326465514358,0.4895204557847998,0.29505719112965617,1.6360528768263463,1.3132475083492927,0.02774817734739844,0.0007656060606062512
159915,D50_Q100,D50 / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,11,0.25,19,8,-0.5488506031002278,-0.20227448659709285,0.34657611650313497,0.19446326465514358,0.5410393811582791,0.3465761165031356,1.6360528768263463,1.2702533518617336,0.01922340846147788,0.011020118929633317
510050,ATM_Q100,ATM / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,30,0.6818181818181818,25,3,0.07434318765066661,-0.09956158041586682,-0.17390476806653338,0.2377667605608283,0.06386199249429532,-0.17390476806653296,0.7376269768974664,0.8901518495515506,0.0213798954124508,-0.011290686582039305
510050,ATM_Q100,ATM / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,25,0.5681818181818182,25,5,0.07434318765066661,-0.09699127058594315,-0.1713344582366097,0.2377667605608283,0.06643230232421884,-0.17133445823660942,0.7376269768974664,0.8879614773466957,0.020999957787381698,-0.006941341145833328
510050,ATM_Q100,ATM / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,13,0.29545454545454547,25,14,0.07434318765066661,-0.14494034848059997,-0.2192835361312665,0.2377667605608283,0.018483224429562066,-0.21928353613126622,0.7376269768974664,0.9387334741373937,0.018177038891339963,-0.020555242718446682
510050,BuyHold,ETF BuyHold,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,0,0,,0,0,0.0,0.0,0.0,0.1634235729101617,0.1634235729101617,0.0,0.0,0.0,0.0,
510050,BuyHold,ETF BuyHold,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,0,0,,0,0,0.0,0.0,0.0,0.1634235729101617,0.1634235729101617,0.0,0.0,0.0,0.0,
510050,BuyHold,ETF BuyHold,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,0,0,,0,0,0.0,0.0,0.0,0.1634235729101617,0.1634235729101617,0.0,0.0,0.0,0.0,
510050,D10_Q100,D10 / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,1,0.022727272727272728,1,0,0.0367222316619164,-0.02669030866066428,-0.06341254032258067,0.20014580457208025,0.1367332642494996,-0.06341254032258066,0.0673387096774194,0.1275,0.0032512500000000002,-0.06341254032258066
510050,D10_Q100,D10 / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,1,0.022727272727272728,1,0,0.0367222316619164,-0.03975716349937392,-0.07647939516129032,0.20014580457208025,0.12366640941078996,-0.0764793951612903,0.0673387096774194,0.14024193548387096,0.0035761693548387098,-0.0764793951612903
510050,D10_Q100,D10 / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,1,0.022727272727272728,1,0,0.0367222316619164,0.016810739726432492,-0.019911491935483902,0.20014580457208025,0.1802343126365964,-0.019911491935483888,0.0673387096774194,0.08508064516129032,0.0021695564516129033,-0.019911491935483888
510050,D20_Q100,D20 / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,4,0.09090909090909091,7,3,0.0769268806011843,0.052023920951657095,-0.024902959649527198,0.24035045351134757,0.21544749386182063,-0.02490295964952689,0.1492095055492356,0.16997650043105345,0.004135964767709454,-0.007352895049802986
510050,D20_Q100,D20 / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,4,0.09090909090909091,7,3,0.0769268806011843,-0.02406156291931063,-0.10098844352049494,0.24035045351134757,0.13936200999085288,-0.10098844352049463,0.1492095055492356,0.24417004881815021,0.006027900251580422,-0.018690605559977064
510050,D20_Q100,D20 / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,2,0.045454545454545456,7,5,0.0769268806011843,-0.016844968439507304,-0.09377184904069162,0.24035045351134757,0.14657860447065604,-0.09377184904069152,0.1492095055492356,0.23821382770820682,0.00476752688172043,-0.04688592452034576
510050,D30_Q100,D30 / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,7,0.1590909090909091,12,5,0.05413344754716478,0.08252602497022037,0.028392577423055558,0.21755702045732742,0.24594959788038337,0.028392577423055974,0.3146260557640659,0.2804469409718634,0.005786537369147042,0.00447991452991469
510050,D30_Q100,D30 / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,7,0.1590909090909091,12,5,0.05413344754716478,-0.025117202865595982,-0.07925065041276078,0.21755702045732742,0.13830637004456708,-0.07925065041276035,0.3146260557640659,0.3854135210165404,0.008463185160286307,-0.005577367773677566
510050,D30_Q100,D30 / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,4,0.09090909090909091,12,8,0.05413344754716478,-0.034276834469695795,-0.08841028201686058,0.21755702045732742,0.12914673844046712,-0.08841028201686027,0.3146260557640659,0.39595683869555104,0.00707949908537547,-0.012071388021572359
510050,D40_Q100,D40 / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,21,0.4772727272727273,20,4,0.059024132495783505,-0.036626777673353816,-0.0956509101691373,0.22244770540594516,0.12679679523680823,-0.09565091016913699,0.4878873352235252,0.5703777301771539,0.013160515215509611,-0.006720483408439115
510050,D40_Q100,D40 / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,17,0.38636363636363635,20,7,0.059024132495783505,-0.04593449043079273,-0.1049586229265762,0.22244770540594516,0.1174890824793693,-0.10495862292657593,0.4878873352235252,0.5798092587755687,0.01303669937453336,-0.005577367773677566
510050,D40_Q100,D40 / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,9,0.20454545454545456,20,12,0.059024132495783505,-0.09389298405815802,-0.15291711655394152,0.22244770540594516,0.06953058885200425,-0.15291711655394097,0.4878873352235252,0.6285700617476224,0.012234390029844763,-0.006498972954467639
510050,D50_Q100,D50 / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,25,0.5681818181818182,23,3,0.028388160226944233,-0.0040157858164887855,-0.03240394604343294,0.19181173313710598,0.15940778709367315,-0.03240394604343287,0.700272163389259,0.7156893116135263,0.016986797819166597,-0.006720483408439115
510050,D50_Q100,D50 / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,22,0.5,23,5,0.028388160226944233,-0.07967940707570705,-0.10806756730265123,0.19181173313710598,0.08374416583445496,-0.10806756730265103,0.700272163389259,0.7897875118993025,0.01855221879260859,-0.0066373408461658946
510050,D50_Q100,D50 / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,11,0.25,23,13,0.028388160226944233,-0.13705646274341832,-0.16544462297036255,0.19181173313710598,0.02636711016674361,-0.16544462297036233,0.700272163389259,0.8495273703472315,0.016189416012390597,-0.006498972954467639
510300,ATM_Q100,ATM / Q100,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,44,28,0.6363636363636364,23,3,-0.11269855832994409,-0.19688670999048696,-0.08418815166054286,0.16939875041439004,0.08521059875384736,-0.08418815166054266,0.855343038508685,0.9175415538256885,0.021989636343540564,-0.008861672578547596
510300,ATM_Q100,ATM / Q100,0.8,Delta >= 0.80,delta,0.8,Delta >= 0.80,44,44,22,0.5,23,5,-0.11269855832994409,-0.18178872515576666,-0.06909016682582253,0.16939875041439004,0.10030858358856763,-0.06909016682582236,0.855343038508685,0.9037554814839815,0.020677723850526675,-0.009464597559231128
510300,ATM_Q100,ATM / Q100,0.9,Delta >= 0.90,delta,0.9,Delta >= 0.90,44,44,17,0.38636363636363635,23,7,-0.11269855832994409,-0.2411691042721339,-0.1284705459421898,0.16939875041439004,0.04092820447220054,-0.12847054594218948,0.855343038508685,0.9618284962609787,0.021985088189896404,0.0025256562017499998
510300,BuyHold,ETF BuyHold,0.7,Delta >= 0.70,delta,0.7,Delta >= 0.70,44,0,0,,0,0,0.0,0.0,0.0,0.2820973087443333,0.2820973087443333,0.0,0.0,0.0,0.0,
