strategy_name,universe_short,method,lookback,rebalance_frequency,baseline_portfolio_name,baseline_source,baseline_role,sample_start,sample_end,n_trading_days,dynamic_sharpe,baseline_sharpe,delta_sharpe_vs_baseline,dynamic_cagr,baseline_cagr,delta_cagr_vs_baseline,dynamic_mdd,baseline_mdd,delta_mdd_vs_baseline,dynamic_final_nav,baseline_final_nav,delta_final_nav_vs_baseline,interpretation_hint
B_anchored_inverse_vol_L252,B,anchored_inverse_vol,252,monthly,B_default_D20,stepC_default_candidate,B main defensive-income anchor,2023-11-01,2026-05-27,621,1.00546504788251,1.036530924479264,-0.031065876596753972,0.1346260085340396,0.14802655376437435,-0.013400545230334737,0.1188049613381631,0.12272762393666214,-0.003922662598499049,1.364875689421475,1.404708245309346,-0.039832555887870935,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
B_anchored_inverse_vol_L252,B,anchored_inverse_vol,252,monthly,B_default_D18,stepC_default_candidate,B stricter defensive default,2023-11-01,2026-05-27,621,1.00546504788251,1.011714032195176,-0.006248984312666073,0.1346260085340396,0.13243291244443345,0.0021930960896061613,0.1188049613381631,0.11183432106045865,0.006970640277704443,1.364875689421475,1.3588501746609694,0.0060255147605057235,dynamic_not_clearly_better_than_static_baseline
B_anchored_inverse_vol_L252,B,anchored_inverse_vol,252,monthly,B_default_D22,stepC_default_candidate,B balanced defensive-growth default,2023-11-01,2026-05-27,621,1.00546504788251,1.0496306175749344,-0.044165569692424356,0.1346260085340396,0.1615757451911961,-0.026949736657156498,0.1188049613381631,0.13217651912999095,-0.01337155779182786,1.364875689421475,1.445270956870189,-0.08039526744871384,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
B_anchored_inverse_vol_L252,B,anchored_inverse_vol,252,monthly,B_Selected_50_30_20,stepB_fixed_weight,B fixed selected 50/30/20,2023-11-01,2026-05-27,621,1.00546504788251,1.0351976454513938,-0.0297325975688838,0.1346260085340396,0.14566176743966008,-0.011035758905620474,0.1188049613381631,0.1199705428160529,-0.00116558147788981,1.364875689421475,1.3982289969424078,-0.033353307520932685,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
B_anchored_inverse_vol_L252,B,anchored_inverse_vol,252,monthly,B_Selected_70_20_10,stepB_fixed_weight,B fixed selected 70/20/10,2023-11-01,2026-05-27,621,1.00546504788251,1.011714032195176,-0.006248984312666073,0.1346260085340396,0.13243291244443345,0.0021930960896061613,0.1188049613381631,0.11183432106045865,0.006970640277704443,1.364875689421475,1.3588501746609694,0.0060255147605057235,dynamic_not_clearly_better_than_static_baseline
B_pure_inverse_vol_L126,B,pure_inverse_vol,126,monthly,B_default_D20,stepC_default_candidate,B main defensive-income anchor,2023-05-04,2026-05-27,742,0.7025309983986983,0.7454504874621287,-0.04291948906343046,0.0880947826664622,0.09791066368926593,-0.00981588102280373,0.18231214946649876,0.18390771778491544,-0.0015955683184166736,1.2804843432154276,1.3151617330453786,-0.034677389829951055,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
B_pure_inverse_vol_L126,B,pure_inverse_vol,126,monthly,B_default_D18,stepC_default_candidate,B stricter defensive default,2023-05-04,2026-05-27,742,0.7025309983986983,0.7294544559391825,-0.026923457540484197,0.0880947826664622,0.08865322999138847,-0.00055844732492627,0.18231214946649876,0.16949936582659253,0.012812783639906233,1.2804843432154276,1.2842304817636179,-0.003746138548190281,dynamic_not_clearly_better_than_static_baseline
B_pure_inverse_vol_L126,B,pure_inverse_vol,126,monthly,B_default_D22,stepC_default_candidate,B balanced defensive-growth default,2023-05-04,2026-05-27,742,0.7025309983986983,0.7534703752829871,-0.050939376884288845,0.0880947826664622,0.10584538126810505,-0.017750598601642853,0.18231214946649876,0.1963504924488122,-0.014038342982313434,1.2804843432154276,1.3420145318262828,-0.06153018861085524,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
B_pure_inverse_vol_L126,B,pure_inverse_vol,126,monthly,B_Selected_50_30_20,stepB_fixed_weight,B fixed selected 50/30/20,2023-05-04,2026-05-27,742,0.7025309983986983,0.7432747193989303,-0.04074372100023205,0.0880947826664622,0.0965686068411089,-0.008473824174646705,0.18231214946649876,0.1789953402348171,0.00331680923168165,1.2804843432154276,1.3108581366851433,-0.030373793469715693,dynamic_not_clearly_better_than_static_baseline
B_pure_inverse_vol_L126,B,pure_inverse_vol,126,monthly,B_Selected_70_20_10,stepB_fixed_weight,B fixed selected 70/20/10,2023-05-04,2026-05-27,742,0.7025309983986983,0.7294544559391825,-0.026923457540484197,0.0880947826664622,0.08865322999138847,-0.00055844732492627,0.18231214946649876,0.16949936582659253,0.012812783639906233,1.2804843432154276,1.2842304817636179,-0.003746138548190281,dynamic_not_clearly_better_than_static_baseline
B_pure_inverse_vol_L252,B,pure_inverse_vol,252,monthly,B_default_D20,stepC_default_candidate,B main defensive-income anchor,2023-11-01,2026-05-27,621,1.0027616609671814,1.036530924479264,-0.03376926351208254,0.13680290454525745,0.14802655376437435,-0.011223649219116894,0.12310865100105783,0.12272762393666214,0.00038102706439568923,1.3717219475930842,1.404708245309346,-0.032986297716261825,dynamic_not_clearly_better_than_static_baseline
B_pure_inverse_vol_L252,B,pure_inverse_vol,252,monthly,B_default_D18,stepC_default_candidate,B stricter defensive default,2023-11-01,2026-05-27,621,1.0027616609671814,1.011714032195176,-0.008952371227994638,0.13680290454525745,0.13243291244443345,0.004369992100824005,0.12310865100105783,0.11183432106045865,0.011274329940599181,1.3717219475930842,1.3588501746609694,0.012871772932114833,dynamic_not_clearly_better_than_static_baseline
B_pure_inverse_vol_L252,B,pure_inverse_vol,252,monthly,B_default_D22,stepC_default_candidate,B balanced defensive-growth default,2023-11-01,2026-05-27,621,1.0027616609671814,1.0496306175749344,-0.04686895660775292,0.13680290454525745,0.1615757451911961,-0.024772840645938654,0.12310865100105783,0.13217651912999095,-0.009067868128933121,1.3717219475930842,1.445270956870189,-0.07354900927710473,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
B_pure_inverse_vol_L252,B,pure_inverse_vol,252,monthly,B_Selected_50_30_20,stepB_fixed_weight,B fixed selected 50/30/20,2023-11-01,2026-05-27,621,1.0027616609671814,1.0351976454513938,-0.032435984484212366,0.13680290454525745,0.14566176743966008,-0.00885886289440263,0.12310865100105783,0.1199705428160529,0.0031381081850049286,1.3717219475930842,1.3982289969424078,-0.026507049349323575,dynamic_not_clearly_better_than_static_baseline
B_pure_inverse_vol_L252,B,pure_inverse_vol,252,monthly,B_Selected_70_20_10,stepB_fixed_weight,B fixed selected 70/20/10,2023-11-01,2026-05-27,621,1.0027616609671814,1.011714032195176,-0.008952371227994638,0.13680290454525745,0.13243291244443345,0.004369992100824005,0.12310865100105783,0.11183432106045865,0.011274329940599181,1.3717219475930842,1.3588501746609694,0.012871772932114833,dynamic_not_clearly_better_than_static_baseline
B_rolling_min_variance_L126,B,rolling_min_variance,126,monthly,B_default_D20,stepC_default_candidate,B main defensive-income anchor,2023-05-04,2026-05-27,742,0.6277707813556804,0.7454504874621287,-0.11767970610644829,0.06818912725002724,0.09791066368926593,-0.029721536439238694,0.16039153755478486,0.18390771778491544,-0.02351618023013058,1.215033137814477,1.3151617330453786,-0.10012859523090167,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
B_rolling_min_variance_L126,B,rolling_min_variance,126,monthly,B_default_D18,stepC_default_candidate,B stricter defensive default,2023-05-04,2026-05-27,742,0.6277707813556804,0.7294544559391825,-0.10168367458350203,0.06818912725002724,0.08865322999138847,-0.020464102741361234,0.16039153755478486,0.16949936582659253,-0.009107828271807672,1.215033137814477,1.2842304817636179,-0.0691973439491409,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
B_rolling_min_variance_L126,B,rolling_min_variance,126,monthly,B_default_D22,stepC_default_candidate,B balanced defensive-growth default,2023-05-04,2026-05-27,742,0.6277707813556804,0.7534703752829871,-0.12569959392730667,0.06818912725002724,0.10584538126810505,-0.03765625401807782,0.16039153755478486,0.1963504924488122,-0.03595895489402734,1.215033137814477,1.3420145318262828,-0.12698139401180586,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
B_rolling_min_variance_L126,B,rolling_min_variance,126,monthly,B_Selected_50_30_20,stepB_fixed_weight,B fixed selected 50/30/20,2023-05-04,2026-05-27,742,0.6277707813556804,0.7432747193989303,-0.11550393804324988,0.06818912725002724,0.0965686068411089,-0.02837947959108167,0.16039153755478486,0.1789953402348171,-0.018603802680032255,1.215033137814477,1.3108581366851433,-0.09582499887066631,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
B_rolling_min_variance_L126,B,rolling_min_variance,126,monthly,B_Selected_70_20_10,stepB_fixed_weight,B fixed selected 70/20/10,2023-05-04,2026-05-27,742,0.6277707813556804,0.7294544559391825,-0.10168367458350203,0.06818912725002724,0.08865322999138847,-0.020464102741361234,0.16039153755478486,0.16949936582659253,-0.009107828271807672,1.215033137814477,1.2842304817636179,-0.0691973439491409,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
B_rolling_min_variance_L252,B,rolling_min_variance,252,monthly,B_default_D20,stepC_default_candidate,B main defensive-income anchor,2023-11-01,2026-05-27,621,0.8958295165961592,1.036530924479264,-0.1407014078831048,0.10405568987267322,0.14802655376437435,-0.04397086389170113,0.10497458345123911,0.12272762393666214,-0.017753040485423033,1.2769653653475592,1.404708245309346,-0.1277428799617868,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
B_rolling_min_variance_L252,B,rolling_min_variance,252,monthly,B_default_D18,stepC_default_candidate,B stricter defensive default,2023-11-01,2026-05-27,621,0.8958295165961592,1.011714032195176,-0.11588451559901691,0.10405568987267322,0.13243291244443345,-0.02837722257176023,0.10497458345123911,0.11183432106045865,-0.0068597376092195406,1.2769653653475592,1.3588501746609694,-0.08188480931341013,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
B_rolling_min_variance_L252,B,rolling_min_variance,252,monthly,B_default_D22,stepC_default_candidate,B balanced defensive-growth default,2023-11-01,2026-05-27,621,0.8958295165961592,1.0496306175749344,-0.1538011009787752,0.10405568987267322,0.1615757451911961,-0.05752005531852289,0.10497458345123911,0.13217651912999095,-0.027201935678751843,1.2769653653475592,1.445270956870189,-0.1683055915226297,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
B_rolling_min_variance_L252,B,rolling_min_variance,252,monthly,B_Selected_50_30_20,stepB_fixed_weight,B fixed selected 50/30/20,2023-11-01,2026-05-27,621,0.8958295165961592,1.0351976454513938,-0.13936812885523464,0.10405568987267322,0.14566176743966008,-0.041606077566986865,0.10497458345123911,0.1199705428160529,-0.014995959364813793,1.2769653653475592,1.3982289969424078,-0.12126363159484854,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
B_rolling_min_variance_L252,B,rolling_min_variance,252,monthly,B_Selected_70_20_10,stepB_fixed_weight,B fixed selected 70/20/10,2023-11-01,2026-05-27,621,0.8958295165961592,1.011714032195176,-0.11588451559901691,0.10405568987267322,0.13243291244443345,-0.02837722257176023,0.10497458345123911,0.11183432106045865,-0.0068597376092195406,1.2769653653475592,1.3588501746609694,-0.08188480931341013,dynamic_reduces_mdd_but_return_tradeoff_must_be_checked
