option_code,underlying_etf,option_type,strike,expiry
90002264.SZ,159922,P,7.25,2023-07-26
90002315.SZ,159922,C,5.0,2023-07-26
90002316.SZ,159922,P,5.0,2023-07-26
90002317.SZ,159922,C,5.0,2023-09-27
90002318.SZ,159922,P,5.0,2023-09-27
90002319.SZ,159922,C,5.0,2023-12-27
90002320.SZ,159922,P,5.0,2023-12-27
90002375.SZ,159922,C,5.25,2023-08-23
90002376.SZ,159922,C,5.5,2023-08-23
90002377.SZ,159922,C,5.75,2023-08-23
90002378.SZ,159922,C,6.0,2023-08-23
90002379.SZ,159922,C,6.25,2023-08-23
90002380.SZ,159922,C,6.5,2023-08-23
90002381.SZ,159922,C,6.75,2023-08-23
90002382.SZ,159922,C,7.0,2023-08-23
90002383.SZ,159922,C,7.25,2023-08-23
90002384.SZ,159922,P,5.25,2023-08-23
90002385.SZ,159922,P,5.5,2023-08-23
90002386.SZ,159922,P,5.75,2023-08-23
90002387.SZ,159922,P,6.0,2023-08-23
90002388.SZ,159922,P,6.25,2023-08-23
90002389.SZ,159922,P,6.5,2023-08-23
90002390.SZ,159922,P,6.75,2023-08-23
90002391.SZ,159922,P,7.0,2023-08-23
90002392.SZ,159922,P,7.25,2023-08-23
90002459.SZ,159922,C,5.25,2024-03-27
90002460.SZ,159922,C,5.5,2024-03-27
90002461.SZ,159922,C,5.75,2024-03-27
90002462.SZ,159922,C,6.0,2024-03-27
90002463.SZ,159922,C,6.25,2024-03-27
90002464.SZ,159922,C,6.5,2024-03-27
90002465.SZ,159922,C,6.75,2024-03-27
90002466.SZ,159922,C,7.0,2024-03-27
90002467.SZ,159922,C,7.25,2024-03-27
90002468.SZ,159922,P,5.25,2024-03-27
90002469.SZ,159922,P,5.5,2024-03-27
90002470.SZ,159922,P,5.75,2024-03-27
90002471.SZ,159922,P,6.0,2024-03-27
90002472.SZ,159922,P,6.25,2024-03-27
90002473.SZ,159922,P,6.5,2024-03-27
90002474.SZ,159922,P,6.75,2024-03-27
90002475.SZ,159922,P,7.0,2024-03-27
90002476.SZ,159922,P,7.25,2024-03-27
90002497.SZ,159922,C,5.0,2023-08-23
90002498.SZ,159922,P,5.0,2023-08-23
90002499.SZ,159922,C,5.0,2024-03-27
90002500.SZ,159922,P,5.0,2024-03-27
90002573.SZ,159922,C,4.9,2023-10-25
90002574.SZ,159922,C,5.0,2023-10-25
90002575.SZ,159922,C,5.25,2023-10-25
90002576.SZ,159922,C,5.5,2023-10-25
90002577.SZ,159922,C,5.75,2023-10-25
90002578.SZ,159922,C,6.0,2023-10-25
90002579.SZ,159922,C,6.25,2023-10-25
90002580.SZ,159922,C,6.5,2023-10-25
90002581.SZ,159922,C,6.75,2023-10-25
90002582.SZ,159922,P,4.9,2023-10-25
90002583.SZ,159922,P,5.0,2023-10-25
90002584.SZ,159922,P,5.25,2023-10-25
90002585.SZ,159922,P,5.5,2023-10-25
90002586.SZ,159922,P,5.75,2023-10-25
90002587.SZ,159922,P,6.0,2023-10-25
90002588.SZ,159922,P,6.25,2023-10-25
90002589.SZ,159922,P,6.5,2023-10-25
90002590.SZ,159922,P,6.75,2023-10-25
90002609.SZ,159922,C,4.9,2023-09-27
90002610.SZ,159922,P,4.9,2023-09-27
90002611.SZ,159922,C,4.9,2023-12-27
90002612.SZ,159922,P,4.9,2023-12-27
90002613.SZ,159922,C,4.9,2024-03-27
90002614.SZ,159922,P,4.9,2024-03-27
90002623.SZ,159922,C,7.0,2023-10-25
90002624.SZ,159922,P,7.0,2023-10-25
90002707.SZ,159922,C,5.0,2023-11-22
90002708.SZ,159922,C,5.25,2023-11-22
90002709.SZ,159922,C,5.5,2023-11-22
90002710.SZ,159922,C,5.75,2023-11-22
90002711.SZ,159922,C,6.0,2023-11-22
90002712.SZ,159922,C,6.25,2023-11-22
90002713.SZ,159922,C,6.5,2023-11-22
90002714.SZ,159922,C,6.75,2023-11-22
90002715.SZ,159922,C,7.0,2023-11-22
90002716.SZ,159922,P,5.0,2023-11-22
90002717.SZ,159922,P,5.25,2023-11-22
90002718.SZ,159922,P,5.5,2023-11-22
90002719.SZ,159922,P,5.75,2023-11-22
90002720.SZ,159922,P,6.0,2023-11-22
90002721.SZ,159922,P,6.25,2023-11-22
90002722.SZ,159922,P,6.5,2023-11-22
90002723.SZ,159922,P,6.75,2023-11-22
90002724.SZ,159922,P,7.0,2023-11-22
90002727.SZ,159922,C,4.9,2023-11-22
90002728.SZ,159922,P,4.9,2023-11-22
90002787.SZ,159922,C,4.8,2023-10-25
90002788.SZ,159922,P,4.8,2023-10-25
90002789.SZ,159922,C,4.8,2023-11-22
90002790.SZ,159922,P,4.8,2023-11-22
90002791.SZ,159922,C,4.8,2023-12-27
90002792.SZ,159922,P,4.8,2023-12-27
90002793.SZ,159922,C,4.8,2024-03-27
90002794.SZ,159922,P,4.8,2024-03-27
90002849.SZ,159922,C,4.8,2024-06-26
90002850.SZ,159922,C,4.9,2024-06-26
90002851.SZ,159922,C,5.0,2024-06-26
90002852.SZ,159922,C,5.25,2024-06-26
90002853.SZ,159922,C,5.5,2024-06-26
90002854.SZ,159922,C,5.75,2024-06-26
90002855.SZ,159922,C,6.0,2024-06-26
90002856.SZ,159922,C,6.25,2024-06-26
90002857.SZ,159922,C,6.5,2024-06-26
90002858.SZ,159922,P,4.8,2024-06-26
90002859.SZ,159922,P,4.9,2024-06-26
90002860.SZ,159922,P,5.0,2024-06-26
90002861.SZ,159922,P,5.25,2024-06-26
90002862.SZ,159922,P,5.5,2024-06-26
90002863.SZ,159922,P,5.75,2024-06-26
90002864.SZ,159922,P,6.0,2024-06-26
90002865.SZ,159922,P,6.25,2024-06-26
90002866.SZ,159922,P,6.5,2024-06-26
90002875.SZ,159922,C,6.75,2024-06-26
90002876.SZ,159922,P,6.75,2024-06-26
90002889.SZ,159922,C,7.0,2024-06-26
90002890.SZ,159922,P,7.0,2024-06-26
90002945.SZ,159922,C,4.9,2024-01-24
90002946.SZ,159922,C,5.0,2024-01-24
90002947.SZ,159922,C,5.25,2024-01-24
90002948.SZ,159922,C,5.5,2024-01-24
90002949.SZ,159922,C,5.75,2024-01-24
90002950.SZ,159922,C,6.0,2024-01-24
90002951.SZ,159922,C,6.25,2024-01-24
90002952.SZ,159922,C,6.5,2024-01-24
90002953.SZ,159922,C,6.75,2024-01-24
90002954.SZ,159922,P,4.9,2024-01-24
90002955.SZ,159922,P,5.0,2024-01-24
90002956.SZ,159922,P,5.25,2024-01-24
90002957.SZ,159922,P,5.5,2024-01-24
90002958.SZ,159922,P,5.75,2024-01-24
90002959.SZ,159922,P,6.0,2024-01-24
90002960.SZ,159922,P,6.25,2024-01-24
90002961.SZ,159922,P,6.5,2024-01-24
90002962.SZ,159922,P,6.75,2024-01-24
90003007.SZ,159922,C,4.8,2024-01-24
90003008.SZ,159922,P,4.8,2024-01-24
90003071.SZ,159922,C,4.8,2024-02-28
90003072.SZ,159922,C,4.9,2024-02-28
90003073.SZ,159922,C,5.0,2024-02-28
90003074.SZ,159922,C,5.25,2024-02-28
90003075.SZ,159922,C,5.5,2024-02-28
90003076.SZ,159922,C,5.75,2024-02-28
90003077.SZ,159922,C,6.0,2024-02-28
90003078.SZ,159922,C,6.25,2024-02-28
90003079.SZ,159922,C,6.5,2024-02-28
90003080.SZ,159922,P,4.8,2024-02-28
90003081.SZ,159922,P,4.9,2024-02-28
90003082.SZ,159922,P,5.0,2024-02-28
90003083.SZ,159922,P,5.25,2024-02-28
90003084.SZ,159922,P,5.5,2024-02-28
90003085.SZ,159922,P,5.75,2024-02-28
90003086.SZ,159922,P,6.0,2024-02-28
90003087.SZ,159922,P,6.25,2024-02-28
90003088.SZ,159922,P,6.5,2024-02-28
90003099.SZ,159922,C,6.75,2024-02-28
90003100.SZ,159922,P,6.75,2024-02-28
90003119.SZ,159922,C,4.7,2024-01-24
90003120.SZ,159922,P,4.7,2024-01-24
90003121.SZ,159922,C,4.7,2024-02-28
90003122.SZ,159922,P,4.7,2024-02-28
90003123.SZ,159922,C,4.7,2024-03-27
90003124.SZ,159922,P,4.7,2024-03-27
90003125.SZ,159922,C,4.7,2024-06-26
90003126.SZ,159922,P,4.7,2024-06-26
90003159.SZ,159922,C,4.5,2024-01-24
90003160.SZ,159922,C,4.6,2024-01-24
90003161.SZ,159922,P,4.5,2024-01-24
90003162.SZ,159922,P,4.6,2024-01-24
90003163.SZ,159922,C,4.5,2024-02-28
90003164.SZ,159922,C,4.6,2024-02-28
90003165.SZ,159922,P,4.5,2024-02-28
90003166.SZ,159922,P,4.6,2024-02-28
90003167.SZ,159922,C,4.5,2024-03-27
90003168.SZ,159922,C,4.6,2024-03-27
90003169.SZ,159922,P,4.5,2024-03-27
90003170.SZ,159922,P,4.6,2024-03-27
90003171.SZ,159922,C,4.5,2024-06-26
90003172.SZ,159922,C,4.6,2024-06-26
90003173.SZ,159922,P,4.5,2024-06-26
90003174.SZ,159922,P,4.6,2024-06-26
90003229.SZ,159922,C,4.7,2024-09-25
90003230.SZ,159922,C,4.8,2024-09-25
90003231.SZ,159922,C,4.9,2024-09-25
90003232.SZ,159922,C,5.0,2024-09-25
90003233.SZ,159922,C,5.25,2024-09-25
90003234.SZ,159922,C,5.5,2024-09-25
90003235.SZ,159922,C,5.75,2024-09-25
90003236.SZ,159922,C,6.0,2024-09-25
90003237.SZ,159922,C,6.25,2024-09-25
90003238.SZ,159922,P,4.7,2024-09-25
90003239.SZ,159922,P,4.8,2024-09-25
90003240.SZ,159922,P,4.9,2024-09-25
90003241.SZ,159922,P,5.0,2024-09-25
90003242.SZ,159922,P,5.25,2024-09-25
90003243.SZ,159922,P,5.5,2024-09-25
90003244.SZ,159922,P,5.75,2024-09-25
90003245.SZ,159922,P,6.0,2024-09-25
90003246.SZ,159922,P,6.25,2024-09-25
90003255.SZ,159922,C,4.6,2024-09-25
90003256.SZ,159922,P,4.6,2024-09-25
90003283.SZ,159922,C,4.5,2024-09-25
90003284.SZ,159922,P,4.5,2024-09-25
90003293.SZ,159922,C,4.3,2024-02-28
90003294.SZ,159922,C,4.4,2024-02-28
90003295.SZ,159922,P,4.3,2024-02-28
90003296.SZ,159922,P,4.4,2024-02-28
90003297.SZ,159922,C,4.3,2024-03-27
90003298.SZ,159922,C,4.4,2024-03-27
90003299.SZ,159922,P,4.3,2024-03-27
90003300.SZ,159922,P,4.4,2024-03-27
90003301.SZ,159922,C,4.3,2024-06-26
90003302.SZ,159922,C,4.4,2024-06-26
90003303.SZ,159922,P,4.3,2024-06-26
90003304.SZ,159922,P,4.4,2024-06-26
90003305.SZ,159922,C,4.3,2024-09-25
90003306.SZ,159922,C,4.4,2024-09-25
90003307.SZ,159922,P,4.3,2024-09-25
90003308.SZ,159922,P,4.4,2024-09-25
90003313.SZ,159922,C,6.5,2024-09-25
90003314.SZ,159922,P,6.5,2024-09-25
90003373.SZ,159922,C,4.8,2024-04-24
90003374.SZ,159922,C,4.9,2024-04-24
90003375.SZ,159922,C,5.0,2024-04-24
90003376.SZ,159922,C,5.25,2024-04-24
90003377.SZ,159922,C,5.5,2024-04-24
90003378.SZ,159922,C,5.75,2024-04-24
90003379.SZ,159922,C,6.0,2024-04-24
90003380.SZ,159922,C,6.25,2024-04-24
90003381.SZ,159922,C,6.5,2024-04-24
90003382.SZ,159922,P,4.8,2024-04-24
90003383.SZ,159922,P,4.9,2024-04-24
90003384.SZ,159922,P,5.0,2024-04-24
90003385.SZ,159922,P,5.25,2024-04-24
90003386.SZ,159922,P,5.5,2024-04-24
90003387.SZ,159922,P,5.75,2024-04-24
90003388.SZ,159922,P,6.0,2024-04-24
90003389.SZ,159922,P,6.25,2024-04-24
90003390.SZ,159922,P,6.5,2024-04-24
90003415.SZ,159922,C,6.75,2024-04-24
90003416.SZ,159922,P,6.75,2024-04-24
90003417.SZ,159922,C,6.75,2024-09-25
90003418.SZ,159922,P,6.75,2024-09-25
90003481.SZ,159922,C,4.7,2024-05-22
90003482.SZ,159922,C,4.8,2024-05-22
90003483.SZ,159922,C,4.9,2024-05-22
90003484.SZ,159922,C,5.0,2024-05-22
90003485.SZ,159922,C,5.25,2024-05-22
90003486.SZ,159922,C,5.5,2024-05-22
90003487.SZ,159922,C,5.75,2024-05-22
90003488.SZ,159922,C,6.0,2024-05-22
90003489.SZ,159922,C,6.25,2024-05-22
90003490.SZ,159922,P,4.7,2024-05-22
90003491.SZ,159922,P,4.8,2024-05-22
90003492.SZ,159922,P,4.9,2024-05-22
90003493.SZ,159922,P,5.0,2024-05-22
90003494.SZ,159922,P,5.25,2024-05-22
90003495.SZ,159922,P,5.5,2024-05-22
90003496.SZ,159922,P,5.75,2024-05-22
90003497.SZ,159922,P,6.0,2024-05-22
90003498.SZ,159922,P,6.25,2024-05-22
90003499.SZ,159922,C,4.7,2024-04-24
90003500.SZ,159922,P,4.7,2024-04-24
90003503.SZ,159922,C,6.5,2024-05-22
90003504.SZ,159922,P,6.5,2024-05-22
90003567.SZ,159922,C,1.819,2024-12-25
90003568.SZ,159922,C,1.857,2024-12-25
