etf_code,strategy_name,strategy_label,delta_buyback_threshold,delta_buyback_label,early_close_rule,early_close_parameter,early_close_label,cycle_count,selected_cycle_count,buyback_count,buyback_rate,baseline_assignment_count,residual_assignment_count,baseline_net_option_yield_sum,delta_buyback_net_option_yield_sum,net_option_yield_change_sum,baseline_strategy_return_sum,delta_buyback_strategy_return_sum,strategy_return_change_sum,baseline_upside_cost_sum,delta_buyback_close_cost_sum,added_buyback_cost_sum,triggered_cycle_strategy_change_median
510300,D40_Q100,D40 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,23,0.5227272727272727,18,17,0.021374082519327726,-0.0008230935508135558,-0.02219717607014122,0.3034713912636626,0.2812742151935199,-0.022197176070142727,0.5237816774012981,0.5448787686194618,0.0011000848519791735,-0.0018186474325039767
510300,D50_Q100,D50 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,21,0.4772727272727273,21,20,-0.07848803772230166,-0.1011861731843502,-0.022698135462048463,0.2036092710220325,0.18091113555998292,-0.022698135462049573,0.797927176140123,0.8195127699345001,0.001112541667672615,-0.002226628445962526
510500,ATM_Q100,ATM / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,17,0.38636363636363635,24,24,-0.369820489898983,-0.4182962918186633,-0.048475801919680206,0.12248028065631583,0.07400447873663504,-0.04847580191968082,1.247448504233549,1.2947189107861388,0.0012053953670910435,-0.0028778919889051076
510500,BuyHold,ETF BuyHold,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,0,0,,0,0,0.0,0.0,0.0,0.49230077055529897,0.49230077055529897,0.0,0.0,0.0,0.0,
510500,D10_Q100,D10 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,38,0.8636363636363636,3,3,-0.0998277662489939,-0.11419437056476561,-0.014366604315771712,0.39247300430630716,0.3781063999905332,-0.014366604315773919,0.2039698722844454,0.21797923778007897,0.00035723882013865595,-0.0003517544054360035
510500,D20_Q100,D20 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,33,0.75,10,6,-0.12486788870424537,-0.1202734611296371,0.004594427574608277,0.36743288185105516,0.3720273094256621,0.004594427574606895,0.3656353313895928,0.360344394816766,0.0006965089982200534,-0.0007652985074626858
510500,D30_Q100,D30 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,28,0.6363636363636364,14,11,-0.31462606748172034,-0.298651916184619,0.015974151297101405,0.1776747030735796,0.19364885437067983,0.015974151297100208,0.7219018929515474,0.7049474878633127,0.0009802537911344409,-0.0011005778734554487
510500,D40_Q100,D40 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,23,0.5227272727272727,19,18,-0.3722467963497739,-0.38414428311260596,-0.011897486762832012,0.1200539742055255,0.1081564874426924,-0.01189748676283311,0.9775479315665963,0.9884318245169604,0.001013593812469104,-0.001603536857781085
510500,D50_Q100,D50 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),44,44,18,0.4090909090909091,23,23,-0.39851142959237973,-0.4478032025045813,-0.04929177291220156,0.0937893409629193,0.044497568050716904,-0.04929177291220239,1.2225720346475888,1.2706381223240417,0.0012256852357495492,-0.002775643046761294
588000,ATM_Q100,ATM / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),35,35,18,0.5142857142857142,15,14,-0.6396721136913077,-0.7174988466957248,-0.077826733004417,0.1642640019008195,0.08643726889640208,-0.07782673300441745,1.7126639619541637,1.788303015835867,0.0021876791227143995,-0.004589545256509867
588000,BuyHold,ETF BuyHold,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),35,0,0,,0,0,0.0,0.0,0.0,0.8039361155921274,0.8039361155921274,0.0,0.0,0.0,0.0,
588000,D10_Q100,D10 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),35,35,31,0.8857142857142857,4,3,-0.3783474586681006,-0.3227076419894792,0.05563981667862137,0.4255886569240284,0.48122847360264825,0.055639816678619836,0.5423276622424796,0.486057102382196,0.0006307431816633253,-0.0005873424971364616
588000,D20_Q100,D20 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),35,35,27,0.7714285714285715,7,6,-0.5256354851578293,-0.5314872279875126,-0.005851742829683289,0.278300630434299,0.27244888760461483,-0.005851742829684198,0.8392127721930143,0.8440490613688321,0.0010154536538667374,-0.001467795801526714
588000,D30_Q100,D30 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),35,35,25,0.7142857142857143,7,7,-0.5892564454986343,-0.6495046307183854,-0.060248185219751255,0.21467967009349442,0.15443148487374203,-0.060248185219752365,1.075694959054094,1.1344450177764271,0.0014981264974194932,-0.002246440306681273
588000,D40_Q100,D40 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),35,35,22,0.6285714285714286,11,10,-0.6977891423109479,-0.7676861386856668,-0.06989699637471897,0.1061469732811803,0.036249976906460334,-0.06989699637471998,1.4478916599234497,1.5157981573646875,0.0019904989334825225,-0.0031933652828085354
588000,D50_Q100,D50 / Q100,0.8,TP80 (remaining premium <= 20%),tp80,0.8,TP80 (remaining premium <= 20%),35,35,20,0.5714285714285714,12,11,-0.5836746812614744,-0.6596600673339665,-0.07598538607249211,0.2202614343306532,0.14427604825816048,-0.07598538607249272,1.5064834227490895,1.580326916482646,0.0021418923389366525,-0.00376880981954727
