etf_code,strategy,style_bucket,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,excess_return_total,excess_return_annualized,information_ratio,upside_capture_ratio,downside_capture_ratio,average_premium_yield,total_premium_contribution,total_upside_truncation_cost,total_transaction_cost_drag,net_option_contribution,assignment_frequency,average_coverage_ratio,average_selected_delta,average_moneyness,option_sale_success_rate
588000,S0_BuyHold,科创/硬科技,0.24267211997273397,0.04148389579167877,0.32663376781531145,0.12700430843125507,0.27384918611792713,-0.5626892792247122,0.07372434009909759,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
588000,S1_ATM_100_Monthly,科创/硬科技,-0.2778167074518313,-0.0644224915566971,0.208113578092178,-0.3095544853309042,-0.4835600015364633,-0.5580809775903853,-0.11543574166396561,-0.5204888274245653,-0.14391702805761272,-0.570308934783874,0.48557842504333315,0.714233792157143,0.018862566228790796,1.2260668048714018,1.3477003482394352,0.0006130334024357009,-0.1222465767704689,0.2153846153846154,0.5538461538461539,0.5261865581459994,-0.0006836751114439044,0.5538461538461539
588000,S4_OTM5_100_Monthly,科创/硬科技,-0.2691496043984307,-0.06213614884080232,0.238175266586592,-0.26088413684303297,-0.4638953178685463,-0.6152603948699157,-0.10099162786829428,-0.5118217243711647,-0.13514301374932425,-0.5995691913558157,0.614861993537403,0.8534333695366091,0.010013884171754825,0.6509024711640636,0.7299390993674801,0.00032545123558203184,-0.07936207943899856,0.12307692307692308,0.5538461538461539,0.29128058014944824,0.04983217189875851,0.5538461538461539
588000,S5_IVTiming_ATM_Monthly,科创/硬科技,-0.18772669841821,-0.03979139409635646,0.2551065162666649,-0.1559795283894755,-0.24805235555087055,-0.5735627044215625,-0.06937583944982274,-0.43039881839094396,-0.10262984871708067,-0.5099668858693601,0.6856888542344884,0.8735725904725541,0.010023124717212614,0.6515031066188198,0.7852830235527979,0.00032575155330940995,-0.13410566848728755,0.16923076923076924,0.2153846153846154,0.536715164749734,-0.0027571833564719274,0.2923076923076923
588000,S6_IVTiming_OTM5_Monthly,科创/硬科技,-0.08036220851069265,-0.016227521991903804,0.2731937633298052,-0.05939931349133179,-0.10276337634130762,-0.5735627044215625,-0.02829249856520787,-0.3230343284834266,-0.07410658182038043,-0.3878464660533901,0.7816870233522362,0.9194592315400385,0.006356005367580025,0.4131403488927016,0.40098469150709687,0.0002065701744463509,0.011949087211158508,0.1076923076923077,0.2153846153846154,0.33033884981249956,0.04841356636734318,0.2923076923076923
159915,S0_BuyHold,成长/科技/医药权重,0.3684384285242652,0.06043854488098632,0.3215011749968314,0.1879885660809233,0.4762934621380992,-0.547253396337862,0.1104397803383808,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
159915,S1_ATM_100_Monthly,成长/科技/医药权重,-0.08724770205205412,-0.018935535636545264,0.19139504076087224,-0.09893430655919243,-0.14845412226192228,-0.46177968659965896,-0.04100556214583227,-0.45568613057631935,-0.1185865551879307,-0.4565566088752774,0.46856956871064753,0.6198074034492559,0.020275766358481245,1.3179248133012809,1.3693452372636856,0.0006589624066506404,-0.052079386369055534,0.3384615384615385,0.6923076923076923,0.5346885454402983,-0.0028907400086068758,0.6923076923076923
159915,S4_OTM5_100_Monthly,成长/科技/医药权重,-0.11400033658302922,-0.02502807445010813,0.21923673014931588,-0.11416004258530138,-0.19684386765881137,-0.5735526859951083,-0.04363692309571293,-0.48243876510729444,-0.1192198851208733,-0.512337667468973,0.5935330300846733,0.7861206765754659,0.008918910192148275,0.5797291624896379,0.6345430516010621,0.00028986458124481907,-0.055103753692668914,0.18461538461538463,0.6923076923076923,0.25140764191727333,0.047692289437181776,0.6923076923076923
159915,S5_IVTiming_ATM_Monthly,成长/科技/医药权重,0.25118131326378057,0.045480346978870934,0.2860756108543818,0.15898016207338045,0.37155659138174285,-0.5271021238819487,0.08628374828756495,-0.11725711526048466,-0.030676853772843665,-0.23251173624049434,0.7732577840650038,0.7886197407398079,0.010085387974148399,0.6555502183196459,0.7608580096265688,0.000327775109159823,-0.1056355664160828,0.2153846153846154,0.27692307692307694,0.5308343187541038,-0.0032149286470869454,0.38461538461538464
159915,S6_IVTiming_OTM5_Monthly,成长/科技/医药权重,0.2988397807066303,0.05326637651533006,0.2953900464863364,0.18032556326434634,0.4367539687851896,-0.5544830822013804,0.09606492646061375,-0.06959864781763492,-0.020616684378687293,-0.17759700264274664,0.8320616172276806,0.8374516203334038,0.005789138509228912,0.37629400309987926,0.4310547060326215,0.00018814700154993965,-0.05494884993429225,0.15384615384615385,0.27692307692307694,0.2857021695585411,0.04533853306329438,0.38461538461538464
510500,S0_BuyHold,中盘成长/均衡,0.2037300683371288,0.035298706362052235,0.23433134646469989,0.15063587050812982,0.24922480115910373,-0.4294017922015021,0.08220437595539397,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
510500,S1_ATM_100_Monthly,中盘成长/均衡,-0.2270571671583227,-0.052504739385303534,0.16066105912987744,-0.3268043897486012,-0.3954695185332651,-0.4606753549660735,-0.11397340625953445,-0.4307872354954515,-0.10897462278767692,-0.6681043892756942,0.5301569763453502,0.8000232526506476,0.013896667022155421,0.9032833564401024,0.9599483339874119,0.0004516416782200512,-0.057116619225529464,0.38461538461538464,0.6923076923076923,0.5214857852119213,0.0013037601541111702,0.6923076923076923
510500,S4_OTM5_100_Monthly,中盘成长/均衡,-0.2598265958925564,-0.061061287534831976,0.18544095822797174,-0.32927616486842304,-0.4648611228484621,-0.5247012637601076,-0.11637343332709997,-0.4635566642296852,-0.11379689601414963,-0.8096389421481106,0.6891124284678554,1.014014787160353,0.004052162564313118,0.26339056668035266,0.34340349674238296,0.00013169528334017633,-0.08014462534537053,0.12307692307692308,0.6923076923076923,0.1721952751673772,0.052641720785453115,0.6923076923076923
510500,S5_IVTiming_ATM_Monthly,中盘成长/均衡,-0.012695581304081882,-0.00252721545793011,0.184676391299727,-0.013684561627741997,-0.019276698270905057,-0.45965415583186153,-0.0054980802976891795,-0.2164256496412107,-0.05007566016253425,-0.3668655468128603,0.7538513631825453,0.8806918528454886,0.00665756164797931,0.43274150711865517,0.3861330201044905,0.00021637075355932758,0.0463921162606053,0.2,0.2846153846153846,0.505822589372878,0.0036417712212839337,0.38461538461538464
510500,S6_IVTiming_OTM5_Monthly,中盘成长/均衡,-0.06935477652881883,-0.014134189689031573,0.19274185835873045,-0.07333222689347049,-0.10682998236779667,-0.4820032551401724,-0.029323846962239247,-0.27308484486594764,-0.06029265765983812,-0.47486934498516065,0.7868030273225209,0.9594637676662079,0.0026224451258230336,0.1704589331784972,0.17557042686919588,8.522946658924861e-05,-0.005196723157287908,0.06153846153846154,0.2846153846153846,0.20406589498105634,0.05242360330504296,0.38461538461538464
