etf_code,strategy,style_bucket,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,excess_return_total,excess_return_annualized,information_ratio,upside_capture_ratio,downside_capture_ratio,average_premium_yield,total_premium_contribution,total_upside_truncation_cost,total_transaction_cost_drag,net_option_contribution,assignment_frequency,average_coverage_ratio,average_selected_delta,average_moneyness,option_sale_success_rate,experiment_stage,experiment_stage_name,rule_id,rule_name,rule_warmup_invalid_coverage,rule_data_invalid_coverage,rule_low_coverage,rule_normal_coverage,rule_high_coverage,base_strategy,synthetic_demo
159915,S5_IVTiming_ATM_Monthly,成长/科技/医药权重,0.3057074197117833,0.05436939525109241,0.29376557965010075,0.18507748700801124,0.44492806531271323,-0.539647355007,0.10074985960115965,-0.052202779087040366,-0.010361073608901433,-0.13921290489449098,,,0.006876061130195205,0.44694397346268827,0.4989232805629973,0.00022347198673134414,-0.05220277908704035,0.2153846153846154,0.18076923076923077,0.5308343187541038,-0.0032149286470869454,0.38461538461538464,core_atm,ATM核心检验,RuleC_GrowthDefensive,成长防守版,0.0,0.0,0.0,0.25,0.75,S5_IVTiming_ATM_Monthly,False
510050,S5_IVTiming_ATM_Monthly,大盘蓝筹/金融权重,-0.2671113078395221,-0.06022824855599063,0.16464377812428457,-0.3658094417058758,-0.5682716877380579,-0.4692778317587706,-0.1283424114245196,0.07304610533209084,0.014601220397707096,0.36966480512354144,,,0.004317029419595482,0.2806069122737063,0.2074205034854787,0.00014030345613685318,0.07304610533209081,0.2,0.2076923076923077,0.510833061481345,0.0015026650603339106,0.4307692307692308,core_atm,ATM核心检验,RuleC_GrowthDefensive,成长防守版,0.0,0.0,0.0,0.25,0.75,S5_IVTiming_ATM_Monthly,False
510300,S5_IVTiming_ATM_Monthly,A股核心宽基,-0.11859558535090531,-0.02510828999568704,0.16975435018085916,-0.1479095526502634,-0.26978852354283944,-0.41693685927286794,-0.060220845044680255,0.04899624115885379,0.009869551889062711,0.23445357252406143,,,0.00490830751728624,0.31903998862360555,0.26988422747043994,0.0001595199943118028,0.048996241158853766,0.2153846153846154,0.24615384615384617,0.5082574016747924,0.0005630126414595885,0.49230769230769234,core_atm,ATM核心检验,RuleC_GrowthDefensive,成长防守版,0.0,0.0,0.0,0.25,0.75,S5_IVTiming_ATM_Monthly,False
510500,S5_IVTiming_ATM_Monthly,中盘成长/均衡,-0.02497321921813389,-0.004996145161226706,0.19139829663132085,-0.026103394069647772,-0.038012255554912965,-0.4670127925222478,-0.010698090590288695,0.039942156815551286,0.007910410872314824,0.16953276816930854,,,0.004578194434297978,0.29758263822936853,0.25749169009470263,0.00014879131911468428,0.03994215681555127,0.2,0.18846153846153846,0.505822589372878,0.0036417712212839337,0.38461538461538464,core_atm,ATM核心检验,RuleC_GrowthDefensive,成长防守版,0.0,0.0,0.0,0.25,0.75,S5_IVTiming_ATM_Monthly,False
588000,S5_IVTiming_ATM_Monthly,科创/硬科技,-0.12619975544649498,-0.026001501509793745,0.26919814189921065,-0.09658871092627697,-0.16453628054592995,-0.5747886205330102,-0.04523663235657338,-0.04430284200915488,-0.008651972891033456,-0.13451283264552194,,,0.006936963871276644,0.4509026516329818,0.4949800423163201,0.00022545132581649086,-0.04430284200915485,0.16923076923076924,0.1423076923076923,0.536715164749734,-0.0027571833564719274,0.2923076923076923,core_atm,ATM核心检验,RuleC_GrowthDefensive,成长防守版,0.0,0.0,0.0,0.25,0.75,S5_IVTiming_ATM_Monthly,False
159915,S5_IVTiming_ATM_Monthly,成长/科技/医药权重,0.2811095015364782,0.048792719442065646,0.30886315650836227,0.15797520168367707,0.3658270473498135,-0.5879409918673706,0.08298914366745234,0.0024600164840040684,0.0004730800930777055,0.005061654340446301,,,0.007333468572484022,0.47667545721146143,0.47397710299885165,0.0002383377286057307,0.0024600164840040822,0.09230769230769231,0.16923076923076924,0.5321388396064504,-0.006412540167747101,0.16923076923076924,core_atm,ATM核心检验,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,S5_IVTiming_ATM_Monthly,False
510050,S5_IVTiming_ATM_Monthly,大盘蓝筹/金融权重,-0.2243801049973736,-0.04781224940700857,0.1603080197138327,-0.2982523862022539,-0.4757415932402547,-0.458396735006356,-0.104303206710985,0.06020164183915791,0.0116078178929174,0.22749040778636803,,,0.004453735892923782,0.28949283304004586,0.22914644478436796,0.0001447464165200229,0.060201641839157924,0.07692307692307693,0.2,0.4997061330383397,0.00278228984153188,0.2,core_atm,ATM核心检验,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,S5_IVTiming_ATM_Monthly,False
510300,S5_IVTiming_ATM_Monthly,A股核心宽基,-0.13761994794935595,-0.028380956530615564,0.17166433000481668,-0.16532821075769924,-0.30730105501535726,-0.4384469833903992,-0.06473064613457442,0.02078777124891964,0.00404237427056775,0.07512514589022357,,,0.005122370719418614,0.33295409676220994,0.31199984846490925,0.00016647704838110495,0.02078777124891961,0.12307692307692308,0.24615384615384617,0.5008388329245671,0.0005988941850721477,0.24615384615384617,core_atm,ATM核心检验,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,S5_IVTiming_ATM_Monthly,False
510500,S5_IVTiming_ATM_Monthly,中盘成长/均衡,0.09647169775571518,0.01786882404564616,0.22673978916330054,0.07880762397982487,0.12396931164176075,-0.5055591197978925,0.03534467749842903,0.06698439474099441,0.012881614373268154,0.22304994730475736,,,0.004997654441233291,0.3248475386801639,0.2577007201698294,0.00016242376934008196,0.06698439474099442,0.1076923076923077,0.18461538461538463,0.5066015061826158,0.002310236382439638,0.18461538461538463,core_atm,ATM核心检验,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,S5_IVTiming_ATM_Monthly,False
588000,S5_IVTiming_ATM_Monthly,科创/硬科技,0.28011410817173843,0.04853123436880091,0.311852635815284,0.1556223318168356,0.30433304113783227,-0.5626892792247122,0.08624872760268064,0.09099996893795562,0.017463190674213355,0.2420266761276358,,,0.007701606050681345,0.5006043932942874,0.40935412215968464,0.00025030219664714376,0.09099996893795559,0.07692307692307693,0.13846153846153847,0.5472178368534757,-0.0050403591709103175,0.13846153846153847,core_atm,ATM核心检验,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,S5_IVTiming_ATM_Monthly,False
159915,S6_IVTiming_OTM5_Monthly,成长/科技/医药权重,0.2988397807066303,0.05326637651533006,0.2953900464863364,0.18032556326434634,0.4367539687851896,-0.5544830822013804,0.09606492646061375,-0.0549488499342923,-0.010906106702564812,-0.13131543510186489,,,0.005789138509228912,0.37629400309987926,0.4310547060326215,0.00018814700154993965,-0.05494884993429225,0.15384615384615385,0.27692307692307694,0.2857021695585411,0.04533853306329438,0.38461538461538464,otm5_check,OTM5稳健性检查,RuleA_Current,当前保守版,0.0,0.0,0.0,0.5,1.0,S6_IVTiming_OTM5_Monthly,False
510050,S6_IVTiming_OTM5_Monthly,大盘蓝筹/金融权重,-0.256241932023069,-0.057458633069930265,0.16887872897038775,-0.3402360582664346,-0.5471250467989295,-0.47161235948117086,-0.12183445135564626,0.09110479069055051,0.018210979519195473,0.5585229047682998,,,0.0025501083448467646,0.1657570424150397,0.07456937320328164,8.287852120751984e-05,0.09110479069055051,0.06153846153846154,0.3153846153846154,0.19953857713916662,0.047336132420171165,0.4307692307692308,otm5_check,OTM5稳健性检查,RuleA_Current,当前保守版,0.0,0.0,0.0,0.5,1.0,S6_IVTiming_OTM5_Monthly,False
510300,S6_IVTiming_OTM5_Monthly,A股核心宽基,-0.10115163261597393,-0.021252124346479828,0.17695589928554703,-0.12009842244471364,-0.2240451488499347,-0.4336730293880622,-0.0490049482128686,0.07461769080898813,0.015030605488565489,0.5582115957390561,,,0.0024781523283091524,0.1610799013400949,0.08638167058043675,8.053995067004748e-05,0.07461769080898811,0.06153846153846154,0.36923076923076925,0.18413045843618425,0.04856830420790842,0.49230769230769234,otm5_check,OTM5稳健性检查,RuleA_Current,当前保守版,0.0,0.0,0.0,0.5,1.0,S6_IVTiming_OTM5_Monthly,False
510500,S6_IVTiming_OTM5_Monthly,中盘成长/均衡,-0.06935477652881883,-0.014134189689031573,0.19274185835873045,-0.07333222689347049,-0.10682998236779667,-0.4820032551401724,-0.029323846962239247,-0.005196723157287915,-0.0010291936800922892,-0.023289214024964953,,,0.0026224451258230336,0.1704589331784972,0.17557042686919588,8.522946658924861e-05,-0.005196723157287908,0.06153846153846154,0.2846153846153846,0.20406589498105634,0.05242360330504296,0.38461538461538464,otm5_check,OTM5稳健性检查,RuleA_Current,当前保守版,0.0,0.0,0.0,0.5,1.0,S6_IVTiming_OTM5_Monthly,False
588000,S6_IVTiming_OTM5_Monthly,科创/硬科技,-0.08036220851069265,-0.016227521991903804,0.2731937633298052,-0.05939931349133179,-0.10276337634130762,-0.5735627044215625,-0.02829249856520787,0.011949087211158508,0.0023335563574493606,0.027857167992393506,,,0.006356005367580025,0.4131403488927016,0.40098469150709687,0.0002065701744463509,0.011949087211158508,0.1076923076923077,0.2153846153846154,0.33033884981249956,0.04841356636734318,0.2923076923076923,otm5_check,OTM5稳健性检查,RuleA_Current,当前保守版,0.0,0.0,0.0,0.5,1.0,S6_IVTiming_OTM5_Monthly,False
159915,S6_IVTiming_OTM5_Monthly,成长/科技/医药权重,-0.09836289870374171,-0.021449493948187515,0.2232256651400467,-0.09608883429569172,-0.16907896612834364,-0.5772192405069287,-0.03716004672566011,-0.03362980139077549,-0.007042385259686203,-0.07348236145500835,,,0.008132505361966467,0.5286128485278203,0.561978343494332,0.00026430642426391026,-0.03362980139077547,0.18461538461538463,0.6,0.25140764191727333,0.047692289437181776,0.6923076923076923,otm5_check,OTM5稳健性检查,RuleB_BroadBaseEnhanced,宽基增强版,1.0,0.0,0.5,0.75,1.0,S6_IVTiming_OTM5_Monthly,False
510050,S6_IVTiming_OTM5_Monthly,大盘蓝筹/金融权重,-0.19413328030820842,-0.04676218661162668,0.13612675276932545,-0.3435194453721222,-0.5192344904444425,-0.3760117967431513,-0.12436361576062281,0.2046910608520138,0.04541777338053802,1.2921376241173066,,,0.004514575233883502,0.2934473902024276,0.08860960565531266,0.00014672369510121384,0.2046910608520138,0.09230769230769231,0.7653846153846153,0.17496020976291532,0.04844353036637926,1.0,otm5_check,OTM5稳健性检查,RuleB_BroadBaseEnhanced,宽基增强版,1.0,0.0,0.5,0.75,1.0,S6_IVTiming_OTM5_Monthly,False
510300,S6_IVTiming_OTM5_Monthly,A股核心宽基,-0.1801621255074829,-0.04311978354157764,0.14008552174175384,-0.30781042184408247,-0.4751506994568607,-0.40452142577042016,-0.10659456037329801,0.15988301233038588,0.035475562006438206,1.2083833158751025,,,0.003996845785574207,0.25979497606232343,0.09978206624390644,0.00012989748803116173,0.15988301233038588,0.07692307692307693,0.7923076923076923,0.1593821211180691,0.05054570913285901,1.0,otm5_check,OTM5稳健性检查,RuleB_BroadBaseEnhanced,宽基增强版,1.0,0.0,0.5,0.75,1.0,S6_IVTiming_OTM5_Monthly,False
510500,S6_IVTiming_OTM5_Monthly,中盘成长/均衡,-0.22833032961513833,-0.05283177265379968,0.18993786473243202,-0.2781529250538038,-0.40110233580985605,-0.5262126760872405,-0.10040003795925419,-0.034798015222252586,-0.0072870198256581725,-0.13346814108869598,,,0.0036919942613855357,0.2399796269900598,0.27465765239881734,0.0001199898134950299,-0.034798015222252614,0.12307692307692308,0.6038461538461538,0.1721952751673772,0.052641720785453115,0.6923076923076923,otm5_check,OTM5稳健性检查,RuleB_BroadBaseEnhanced,宽基增强版,1.0,0.0,0.5,0.75,1.0,S6_IVTiming_OTM5_Monthly,False
588000,S6_IVTiming_OTM5_Monthly,科创/硬科技,-0.21748817161063672,-0.04893845363312266,0.2462935972084038,-0.1986996584069252,-0.3669651993210415,-0.6163601161033703,-0.07939912456132245,-0.00230598949931779,-0.0004717971789523505,-0.004321693810312395,,,0.009286521890547126,0.6036239228855632,0.6056281004234382,0.00030181196144278154,-0.0023059894993178176,0.12307692307692308,0.49230769230769234,0.29128058014944824,0.04983217189875851,0.5538461538461539,otm5_check,OTM5稳健性检查,RuleB_BroadBaseEnhanced,宽基增强版,1.0,0.0,0.5,0.75,1.0,S6_IVTiming_OTM5_Monthly,False
159915,S6_IVTiming_OTM5_Monthly,成长/科技/医药权重,0.32334742989178644,0.05718141338107241,0.300460006702662,0.19031289391422956,0.46600991419671517,-0.5556941705275453,0.10290086960384619,-0.029211589615110868,-0.0057978413319823095,-0.0962904879908103,,,0.004083223178979198,0.2654095066336479,0.2944883914954419,0.00013270475331682394,-0.029211589615110826,0.15384615384615385,0.18076923076923077,0.2857021695585411,0.04533853306329438,0.38461538461538464,otm5_check,OTM5稳健性检查,RuleC_GrowthDefensive,成长防守版,0.0,0.0,0.0,0.25,0.75,S6_IVTiming_OTM5_Monthly,False
510050,S6_IVTiming_OTM5_Monthly,大盘蓝筹/金融权重,-0.2780696582941308,-0.06305400774079895,0.17001433269602642,-0.37087465945318293,-0.5975520706816299,-0.4734073465114529,-0.13319186574827163,0.062350465565778675,0.012463263927442068,0.5116141914109836,,,0.001786715839743458,0.11613652958332478,0.05372799575275443,5.806826479166239e-05,0.062350465565778695,0.06153846153846154,0.2076923076923077,0.19953857713916662,0.047336132420171165,0.4307692307692308,otm5_check,OTM5稳健性检查,RuleC_GrowthDefensive,成长防守版,0.0,0.0,0.0,0.25,0.75,S6_IVTiming_OTM5_Monthly,False
510300,S6_IVTiming_OTM5_Monthly,A股核心宽基,-0.12384691900480826,-0.026281082143815748,0.17854173013454946,-0.14719854077817138,-0.27992293844733956,-0.43843835866905034,-0.05994247908325396,0.05041464398624883,0.010155267690386768,0.5067331698745294,,,0.0017384781503374106,0.11300107977193169,0.06252993524579689,5.650053988596584e-05,0.05041464398624883,0.06153846153846154,0.24615384615384617,0.18413045843618425,0.04856830420790842,0.49230769230769234,otm5_check,OTM5稳健性检查,RuleC_GrowthDefensive,成长防守版,0.0,0.0,0.0,0.25,0.75,S6_IVTiming_OTM5_Monthly,False
510500,S6_IVTiming_OTM5_Monthly,中盘成长/均衡,-0.06448896199445042,-0.01311548537948215,0.19727765430393351,-0.06648236682333991,-0.09837656854601529,-0.4807410012298651,-0.02728181150750446,0.004117979925125456,0.0008155521826754159,0.026487263234762314,,,0.0018508659969827797,0.12030628980388068,0.11612815673385332,6.015314490194034e-05,0.004117979925125418,0.06153846153846154,0.18846153846153846,0.20406589498105634,0.05242360330504296,0.38461538461538464,otm5_check,OTM5稳健性检查,RuleC_GrowthDefensive,成长防守版,0.0,0.0,0.0,0.25,0.75,S6_IVTiming_OTM5_Monthly,False
588000,S6_IVTiming_OTM5_Monthly,科创/硬科技,-0.051978929724726175,-0.010370237040024488,0.2817663483302953,-0.036804384560033314,-0.06636316644298079,-0.5747886205330102,-0.01804182732498777,0.053176997629160824,0.01038502093881418,0.18609669994201983,,,0.004490861073420748,0.2919059697723486,0.23858301915830166,0.0001459529848861743,0.053176997629160755,0.1076923076923077,0.1423076923076923,0.33033884981249956,0.04841356636734318,0.2923076923076923,otm5_check,OTM5稳健性检查,RuleC_GrowthDefensive,成长防守版,0.0,0.0,0.0,0.25,0.75,S6_IVTiming_OTM5_Monthly,False
159915,S6_IVTiming_OTM5_Monthly,成长/科技/医药权重,0.26370222108861285,0.0460370495831357,0.3117098407901704,0.14769199928508467,0.3463369124410052,-0.5964137311029171,0.07718978819954693,-0.006948658591859037,-0.0013362804984344303,-0.0174042095621819,,,0.0047546156974589675,0.30905002033483286,0.3158441539165245,0.00015452501016741647,-0.006948658591859017,0.06153846153846154,0.16923076923076924,0.33671945604852793,0.039481513922655996,0.16923076923076924,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,S6_IVTiming_OTM5_Monthly,False
510050,S6_IVTiming_OTM5_Monthly,大盘蓝筹/金融权重,-0.2216422991682676,-0.04716510572394883,0.16462658308370356,-0.2864975075135221,-0.4717295699636249,-0.4524144182936949,-0.10425199511066545,0.06719228088201372,0.012955722409896992,0.40660199838651045,,,0.002046646669280304,0.13303203350321977,0.06577323660445443,6.651601675160988e-05,0.06719228088201372,0.046153846153846156,0.2,0.2336702346699256,0.04546172145585536,0.2,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,S6_IVTiming_OTM5_Monthly,False
510300,S6_IVTiming_OTM5_Monthly,A股核心宽基,-0.11506819013998215,-0.023491290432389622,0.17833443202163493,-0.13172605069075913,-0.24632612112804775,-0.448213282719778,-0.05241096446281876,0.05242319432701902,0.010194174709303113,0.38989956443066753,,,0.0019976079447313363,0.12984451640753686,0.07735639982231408,6.492225820376844e-05,0.052423194327019015,0.046153846153846156,0.24615384615384617,0.20792677358781814,0.04695174912849105,0.24615384615384617,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,S6_IVTiming_OTM5_Monthly,False
510500,S6_IVTiming_OTM5_Monthly,中盘成长/均衡,0.05061389671461347,0.009540348046103153,0.2291235243726663,0.04163844839688266,0.06675833670351682,-0.5145342596137779,0.018541715867985885,0.026865366015077486,0.005166416541361055,0.13678008786844373,,,0.0021585737362850507,0.1403072928585283,0.11337177319702155,7.015364642926414e-05,0.02686536601507747,0.03076923076923077,0.18461538461538463,0.24073015401899311,0.05227836797845522,0.18461538461538463,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,S6_IVTiming_OTM5_Monthly,False
588000,S6_IVTiming_OTM5_Monthly,科创/硬科技,0.3921595353549383,0.06555136241933046,0.3208268892824765,0.20432003865366427,0.4154759223442632,-0.5626892792247122,0.11649655474091991,0.188809816094326,0.0362332191768817,0.5593648045980111,,,0.005251433558522937,0.3413431813039909,0.15236269361901286,0.00017067159065199545,0.18880981609432607,0.046153846153846156,0.13846153846153847,0.364775761063096,0.051078857252389726,0.13846153846153847,otm5_check,OTM5稳健性检查,RuleD_HighIVOnly,高IV-only版,0.0,0.0,0.0,0.0,1.0,S6_IVTiming_OTM5_Monthly,False
