surface_point_id,etf_code,surface_rule,sleeve_name,moneyness_label,moneyness_axis,target_moneyness,avg_realized_moneyness,median_realized_moneyness,target_delta,avg_entry_delta,median_entry_delta,coverage,coverage_label,sample_start,sample_end,n_trading_days,n_periods,avg_actual_dte,avg_premium_return,source_detail,source_file_daily,source_file_period,source_quality,cumulative_return,annualized_return_cagr,arithmetic_annualized_return,annualized_volatility,sharpe_daily_mean,max_drawdown,calmar_ratio,option_leg_annualized_pnl_contribution
surface_0021,159915,OTM5_up,159915_DTE30_OTM5_up_Q10_DynamicHold,OTM +5%,0.0621260846987554,0.05,0.06311538107061097,0.0621260846987554,,0.2025380324511793,0.19229077664565125,0.1,Q10,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.008585605849363822,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.7619101597336655,0.17394928121289355,0.20428840789922487,0.298726272831739,0.6838648839377199,0.40238190007277275,0.43229897065805883,-0.007011146158230865
surface_0022,159915,OTM5_up,159915_DTE30_OTM5_up_Q20_DynamicHold,OTM +5%,0.0621260846987554,0.05,0.06311538107061097,0.0621260846987554,,0.2025380324511793,0.19229077664565125,0.2,Q20,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.008585605849363822,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.7454673338207956,0.1708367721051729,0.19727726174099405,0.2830598148002324,0.6969454914687243,0.39801758455835623,0.4292191569745213,-0.01402229231646173
surface_0023,159915,OTM5_up,159915_DTE30_OTM5_up_Q30_DynamicHold,OTM +5%,0.0621260846987554,0.05,0.06311538107061097,0.0621260846987554,,0.2025380324511793,0.19229077664565125,0.3,Q30,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.008585605849363822,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.7258560497461053,0.16709688988628923,0.19026611558276313,0.26859989187177064,0.7083625918717644,0.3941989657049253,0.4238897217487079,-0.021033438474692592
surface_0024,159915,OTM5_up,159915_DTE30_OTM5_up_Q40_DynamicHold,OTM +5%,0.0621260846987554,0.05,0.06311538107061097,0.0621260846987554,,0.2025380324511793,0.19229077664565125,0.4,Q40,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.008585605849363822,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.7032123124674103,0.16274062841173786,0.1832549694245322,0.25555139513666847,0.7170963372222161,0.3903610530905903,0.41689770821980787,-0.02804458463292346
surface_0025,159915,OTM5_up,159915_DTE30_OTM5_up_Q50_DynamicHold,OTM +5%,0.0621260846987554,0.05,0.06311538107061097,0.0621260846987554,,0.2025380324511793,0.19229077664565125,0.5,Q50,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.008585605849363822,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.6776778483533554,0.15777814688745218,0.17624382326630142,0.24414073745086917,0.7218943675951199,0.3865037917772869,0.40821888489613545,-0.03505573079115434
surface_0026,159915,OTM5_up,159915_DTE30_OTM5_up_Q60_DynamicHold,OTM +5%,0.0621260846987554,0.05,0.06311538107061097,0.0621260846987554,,0.2025380324511793,0.19229077664565125,0.6,Q60,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.008585605849363822,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.6493996306287655,0.15221883951749948,0.16923267710807058,0.23460702098146283,0.7213453220628137,0.3826814903535267,0.39776901510673407,-0.042066876949385185
surface_0027,159915,OTM5_up,159915_DTE30_OTM5_up_Q70_DynamicHold,OTM +5%,0.0621260846987554,0.05,0.06311538107061097,0.0621260846987554,,0.2025380324511793,0.19229077664565125,0.7,Q70,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.008585605849363822,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.6185293925554802,0.14607139451576323,0.16222153094983968,0.2271866619952074,0.7140451359475576,0.3789583266621629,0.3854550335451113,-0.04907802310761606
surface_0028,159915,OTM5_up,159915_DTE30_OTM5_up_Q80_DynamicHold,OTM +5%,0.0621260846987554,0.05,0.06311538107061097,0.0621260846987554,,0.2025380324511793,0.19229077664565125,0.8,Q80,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.008585605849363822,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.5852231300180821,0.13934384373037378,0.1552103847916088,0.22209159139246687,0.6988575470979015,0.37521782421049377,0.371367868846772,-0.05608916926584692
surface_0029,159915,OTM5_up,159915_DTE30_OTM5_up_Q90_DynamicHold,OTM +5%,0.0621260846987554,0.05,0.06311538107061097,0.0621260846987554,,0.2025380324511793,0.19229077664565125,0.9,Q90,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.008585605849363822,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.5496405952147194,0.13204360389267777,0.14819923863337797,0.21948380584894653,0.6752171899888225,0.3714599453656713,0.3554719843688446,-0.06310031542407778
surface_0030,159915,OTM5_up,159915_DTE30_OTM5_up_Q100_DynamicHold,OTM +5%,0.0621260846987554,0.05,0.06311538107061097,0.0621260846987554,,0.2025380324511793,0.19229077664565125,1.0,Q100,2022-09-19,2026-05-27,890,44.0,29.613636363636363,0.008585605849363822,ver2_6_stepA_available_rules,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_daily_paths.csv,outputs/multi_asset_rebalancing/ver2_6_early_close_strike_touch/intermediate/ver2_6_early_close_etf_period_paths.csv,510500/159915 当前 Step A 真实路径为 ATM、D40、OTM5_up；未新增 OTM 网格。,0.5119447831773349,0.12417751030286595,0.1411880924751471,0.2194519937859381,0.6433666426966591,0.36768465283677754,0.33772829337533106,-0.07011146158230867
