surface_point_id,etf_code,sleeve_name,parameter_grid_role,sample_scope,sample_start,sample_end,n_trading_days,moneyness_label,target_moneyness,coverage,coverage_label,annualized_return_cagr,arithmetic_annualized_return,annualized_volatility,sharpe_daily_mean,sortino_ratio,calmar_ratio,max_drawdown,monthly_win_rate,worst_month_return,best_month_return,option_leg_annualized_pnl_contribution,premium_capture_ratio_agg,payoff_burden_agg,positive_option_leg_period_rate,assignment_rate,p95_short_call_mtm_loss,p99_short_call_mtm_loss,max_short_call_mtm_loss,avg_actual_dte,avg_realized_moneyness,median_realized_moneyness,selected_periods,skipped_periods,avg_active_coverage,annualized_return_cagr_vs_buyhold,sharpe_diff_vs_buyhold,mdd_improvement_vs_buyhold,option_leg_verdict,recommendation_read,source_engine
mny_daily_0082,510050,510050_DTE30_OTM1_Q20_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,OTM1,0.01,0.2,Q20,0.0406931246536632,0.0509503119047956,0.1489461048590429,0.3420721337628338,0.5888897775817518,0.206912716903043,0.1966680698157938,0.5227272727272727,-0.1150839789671154,0.1611274084223055,0.0011818481088997,0.0474322115269271,0.9270677884730728,0.7045454545454546,0.4545454545454545,0.0047145631067961,0.0184258064516129,0.0357822580645161,30.34090909090909,0.0111283548637382,0.0105006686032568,44,0,0.1999999999999999,0.0037399355248608,0.0395440157785985,0.0191971460494219,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
mny_daily_0083,510050,510050_DTE30_OTM1_Q30_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,OTM1,0.01,0.3,Q30,0.0424180817284065,0.0515419074638539,0.1415587064398006,0.3641027016997555,0.6203904734667548,0.2267379295608272,0.1870797788908406,0.5454545454545454,-0.1128078402702879,0.1431624351502647,0.0017727721633495,0.0474322115269271,0.9270677884730728,0.7045454545454546,0.4545454545454545,0.0070718446601941,0.0276387096774194,0.0536733870967741,30.34090909090909,0.0111283548637382,0.0105006686032568,44,0,0.2999999999999999,0.0054648925996041,0.0615745837155202,0.0287854369743751,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
mny_daily_0084,510050,510050_DTE30_OTM1_Q40_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,OTM1,0.01,0.4,Q40,0.0440455488167115,0.0521335030229099,0.1344902603707514,0.3876377581483797,0.652716331532508,0.2482751994882238,0.1774061561827511,0.5454545454545454,-0.1105271545337225,0.1253811117487204,0.0023636962177994,0.0474322115269271,0.9270677884730728,0.7045454545454546,0.4545454545454545,0.0094291262135922,0.0368516129032259,0.0715645161290322,30.34090909090909,0.0111283548637382,0.0105006686032568,44,0,0.3999999999999999,0.0070923596879091,0.0851096401641444,0.0384590596824646,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
mny_daily_0085,510050,510050_DTE30_OTM1_Q50_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,OTM1,0.01,0.5,Q50,0.0455749335550328,0.052725098581968,0.1277937026998183,0.412579786547205,0.6854819776555253,0.2718507349700302,0.1676469021136072,0.5454545454545454,-0.1082419151832342,0.1077824682292436,0.0029546202722492,0.0474322115269271,0.927067788473073,0.7045454545454546,0.4545454545454545,0.0117864077669902,0.0460645161290323,0.0894556451612903,30.34090909090909,0.0111283548637382,0.0105006686032568,44,0,0.5,0.0086217444262304,0.1100516685629696,0.0482183137516085,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
mny_daily_0086,510050,510050_DTE30_OTM1_Q60_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,OTM1,0.01,0.6,Q60,0.0470056597088861,0.0533166941410257,0.1215305242082036,0.4387103115731209,0.7181605872889345,0.2978779860617304,0.1578017238881995,0.5681818181818182,-0.1059521156388653,0.0982764734411827,0.0035455443266991,0.0474322115269271,0.9270677884730728,0.7045454545454546,0.4545454545454545,0.0141436893203883,0.0552774193548388,0.1073467741935483,30.34090909090909,0.0111283548637382,0.0105006686032568,44,0,0.5999999999999999,0.0100524705800837,0.1361821935888856,0.0580634919770162,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
mny_daily_0087,510050,510050_DTE30_OTM1_Q70_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,OTM1,0.01,0.7,Q70,0.0483371674186066,0.0539082897000821,0.1157710832996141,0.4656455495071095,0.7500543772642971,0.3268888733338425,0.1478703356453531,0.5909090909090909,-0.1036577493148841,0.0923992841746774,0.004136468381149,0.0474322115269271,0.9270677884730728,0.7045454545454546,0.4545454545454545,0.0165009708737864,0.0644903225806453,0.1252379032258064,30.34090909090909,0.0111283548637382,0.0105006686032568,44,0,0.7000000000000001,0.0113839782898041,0.1631174315228742,0.0679948802198626,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
mny_daily_0088,510050,510050_DTE30_OTM1_Q80_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,OTM1,0.01,0.8,Q80,0.0495689134390777,0.0544998852591396,0.1105941078532931,0.4927919426904334,0.780416773818673,0.359579465892817,0.1378524586102288,0.6136363636363636,-0.1013588096197859,0.0865316715885771,0.0047273924355988,0.0474322115269271,0.9270677884730728,0.7045454545454546,0.4545454545454545,0.0188582524271844,0.0737032258064518,0.1431290322580645,30.34090909090909,0.0111283548637382,0.0105006686032568,44,0,0.7999999999999999,0.0126157243102753,0.1902638247061981,0.0780127572549869,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
mny_daily_0089,510050,510050_DTE30_OTM1_Q90_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,OTM1,0.01,0.9,Q90,0.0507003713733154,0.0550914808181964,0.1060849056408103,0.5193149815745609,0.8084791189562134,0.3968785602616997,0.1277478212475973,0.6363636363636364,-0.0990552899562905,0.0806737648739623,0.0053183164900487,0.0474322115269271,0.9270677884730728,0.7045454545454546,0.4545454545454545,0.0212155339805825,0.0829161290322583,0.1610201612903226,30.34090909090909,0.0111283548637382,0.0105006686032568,44,0,0.9000000000000002,0.0137471822445129,0.2167868635903255,0.0881173946176184,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
mny_daily_0090,510050,510050_DTE30_OTM1_Q100_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,OTM1,0.01,1.0,Q100,0.0517310318997996,0.0556830763772544,0.1023317901105401,0.5441425027071727,0.8332285862052989,0.4280242224823634,0.120860056937388,0.6590909090909091,-0.0967471837213438,0.0748256924669619,0.0059092405444985,0.0474322115269271,0.927067788473073,0.7045454545454546,0.4545454545454545,0.0235728155339805,0.0921290322580647,0.1789112903225806,30.34090909090909,0.0111283548637382,0.0105006686032568,44,0,1.0,0.0147778427709972,0.2416143847229373,0.0950051589278277,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
mny_daily_0091,510050,510050_DTE30_OTM2_Q10_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,OTM2,0.02,0.1,Q10,0.040665847171639,0.0522615070827243,0.1577445854698937,0.331304601847641,0.5770787752785562,0.1969342260854683,0.2064945640987273,0.5,-0.1178057631002567,0.181411030047256,0.0024915549835605,0.1981521069618035,0.7763478930381963,0.7727272727272727,0.3181818181818182,0.0018152218152218,0.0079274193548387,0.0166693548387096,30.34090909090909,0.0203326524677759,0.0192731615793364,44,0,0.0999999999999999,0.0037126580428366,0.0287764838634056,0.0093706517664884,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
