etf_code,best_metric_name,best_metric_label,moneyness_label,coverage_label,surface_point_id,sleeve_name,parameter_grid_role,sample_scope,sample_start,sample_end,n_trading_days,target_moneyness,coverage,annualized_return_cagr,arithmetic_annualized_return,annualized_volatility,sharpe_daily_mean,sortino_ratio,calmar_ratio,max_drawdown,monthly_win_rate,worst_month_return,best_month_return,option_leg_annualized_pnl_contribution,premium_capture_ratio_agg,payoff_burden_agg,positive_option_leg_period_rate,assignment_rate,p95_short_call_mtm_loss,p99_short_call_mtm_loss,max_short_call_mtm_loss,avg_actual_dte,avg_realized_moneyness,median_realized_moneyness,selected_periods,skipped_periods,avg_active_coverage,annualized_return_cagr_vs_buyhold,sharpe_diff_vs_buyhold,mdd_improvement_vs_buyhold,option_leg_verdict,recommendation_read,source_engine
510300,max_drawdown,MDD,ATM,Q100,mny_daily_0150,510300_DTE30_ATM_Q100_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.0,1.0,0.0469133788124804,0.0504413921878415,0.0956099470460007,0.5275747319844527,0.7720416179625663,0.364439415470655,0.1287275108590936,0.6136363636363636,-0.0583732491760958,0.0558382148672218,-0.034424169567939,-0.1478833385607291,1.1223833385607294,0.6363636363636364,0.5227272727272727,0.0268648930620761,0.1135405872193441,0.238341968911917,30.34090909090909,0.0024063186898719,0.0034316366069292,44,0,1.0,-0.0251534171672018,0.0432792591769862,0.1131274237425705,negative option leg,"risk-adjusted defensive tradeoff, not a return upgrade",continuous_30d_daily_mtm
510300,option_leg_annualized_pnl_contribution,Option leg,OTM4,Q100,mny_daily_0190,510300_DTE30_OTM4_Q100_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.04,1.0,0.0930802422802836,0.0973804046344657,0.1292870400521867,0.7532108755460568,1.2395375362438812,0.502402642743277,0.1852702083174486,0.5681818181818182,-0.0706130289055492,0.0932528949073514,0.0124615636364073,0.188435381901192,0.786064618098808,0.8636363636363636,0.1363636363636363,0.0083128491620111,0.0925849165227409,0.2171848013816925,30.34090909090909,0.0383876538672487,0.0368032268652045,44,0,1.0,0.0210134463006013,0.2689154027385903,0.0565847262842155,positive option leg,dominates buyhold in this diagnostic grid,continuous_30d_daily_mtm
510500,sharpe_daily_mean,Sharpe,OTM7,Q10,mny_daily_0271,510500_DTE30_OTM7_Q10_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.07,0.1,0.1218518134689601,0.13773657703362,0.2136500884762144,0.6446829861666743,1.1146285744557232,0.408625977657119,0.2981988912393789,0.5,-0.1325572263789718,0.2547134062279776,-0.0036836703966318,-0.7409098554010057,1.715409855401006,0.8863636363636364,0.1818181818181818,0.0012490450725744,0.008892502595742,0.0208206939538749,30.34090909090909,0.0677412998429958,0.0655077217180655,44,0,0.0999999999999999,-0.0029351526169401,-0.0018168524479962,0.0034227303822427,near-flat option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
510500,annualized_return_cagr,CAGR,OTM7,Q10,mny_daily_0271,510500_DTE30_OTM7_Q10_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.07,0.1,0.1218518134689601,0.13773657703362,0.2136500884762144,0.6446829861666743,1.1146285744557232,0.408625977657119,0.2981988912393789,0.5,-0.1325572263789718,0.2547134062279776,-0.0036836703966318,-0.7409098554010057,1.715409855401006,0.8863636363636364,0.1818181818181818,0.0012490450725744,0.008892502595742,0.0208206939538749,30.34090909090909,0.0677412998429958,0.0655077217180655,44,0,0.0999999999999999,-0.0029351526169401,-0.0018168524479962,0.0034227303822427,near-flat option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
510500,max_drawdown,MDD,ATM,Q100,mny_daily_0220,510500_DTE30_ATM_Q100_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.0,1.0,0.0310352901332764,0.0384787045959728,0.1252419696036474,0.3072349047028421,0.4304219576674654,0.1771754928806312,0.175166946786404,0.6363636363636364,-0.0913042907623332,0.0657804558351331,-0.1028288778258373,-0.4106410250358889,1.3851410250358889,0.6363636363636364,0.5454545454545454,0.0455532839253769,0.1423801874163325,0.2810720964055683,30.34090909090909,0.0014251456044855,0.001931086398741,44,0,1.0,-0.0937516759526237,-0.3392649339118284,0.1264546748352176,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
510500,option_leg_annualized_pnl_contribution,Option leg,OTM7,Q10,mny_daily_0271,510500_DTE30_OTM7_Q10_Hold,surface,main_stepA_common_sample,2022-09-30,2026-05-27,881,0.07,0.1,0.1218518134689601,0.13773657703362,0.2136500884762144,0.6446829861666743,1.1146285744557232,0.408625977657119,0.2981988912393789,0.5,-0.1325572263789718,0.2547134062279776,-0.0036836703966318,-0.7409098554010057,1.715409855401006,0.8863636363636364,0.1818181818181818,0.0012490450725744,0.008892502595742,0.0208206939538749,30.34090909090909,0.0677412998429958,0.0655077217180655,44,0,0.0999999999999999,-0.0029351526169401,-0.0018168524479962,0.0034227303822427,near-flat option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
588000,sharpe_daily_mean,Sharpe,OTM1,Q10,mny_daily_0291,588000_DTE30_OTM1_Q10_Hold,surface,short_sample_extension,2023-06-30,2026-05-27,703,0.01,0.1,0.2247537698765371,0.2540866193503816,0.3249476217446741,0.7819310016370233,1.590190708288031,0.6561170884650297,0.342551312605412,0.4285714285714285,-0.1917075233146413,0.2745266113320941,-0.0185251093335056,-0.6163692987697376,1.5908692987697377,0.8,0.3428571428571428,0.0092408539149642,0.0348434285714286,0.0620285714285714,30.34285714285714,0.0107003218898211,0.0130246020260491,35,0,0.0999999999999999,-0.0142205039840035,-0.0028638265692961,0.0221989230213555,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
588000,annualized_return_cagr,CAGR,OTM1,Q10,mny_daily_0291,588000_DTE30_OTM1_Q10_Hold,surface,short_sample_extension,2023-06-30,2026-05-27,703,0.01,0.1,0.2247537698765371,0.2540866193503816,0.3249476217446741,0.7819310016370233,1.590190708288031,0.6561170884650297,0.342551312605412,0.4285714285714285,-0.1917075233146413,0.2745266113320941,-0.0185251093335056,-0.6163692987697376,1.5908692987697377,0.8,0.3428571428571428,0.0092408539149642,0.0348434285714286,0.0620285714285714,30.34285714285714,0.0107003218898211,0.0130246020260491,35,0,0.0999999999999999,-0.0142205039840035,-0.0028638265692961,0.0221989230213555,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
588000,max_drawdown,MDD,ATM,Q100,mny_daily_0290,588000_DTE30_ATM_Q100_Hold,surface,short_sample_extension,2023-06-30,2026-05-27,703,0.0,1.0,0.0529936291070554,0.0674642280100402,0.177859243160014,0.3793124653597281,0.5899232810658227,0.2758104940738733,0.1921378274057315,0.6,-0.1274290372353609,0.1297713341451487,-0.2048820349678159,-0.5809554618717575,1.555455461871758,0.7428571428571429,0.4285714285714285,0.1040875232774674,0.3484342857142861,0.6202857142857143,30.34285714285714,0.0006032826838843,0.0053619302949061,35,0,1.0,-0.1859806447534853,-0.4054823628465914,0.172612408221036,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
588000,option_leg_annualized_pnl_contribution,Option leg,OTM1,Q10,mny_daily_0291,588000_DTE30_OTM1_Q10_Hold,surface,short_sample_extension,2023-06-30,2026-05-27,703,0.01,0.1,0.2247537698765371,0.2540866193503816,0.3249476217446741,0.7819310016370233,1.590190708288031,0.6561170884650297,0.342551312605412,0.4285714285714285,-0.1917075233146413,0.2745266113320941,-0.0185251093335056,-0.6163692987697376,1.5908692987697377,0.8,0.3428571428571428,0.0092408539149642,0.0348434285714286,0.0620285714285714,30.34285714285714,0.0107003218898211,0.0130246020260491,35,0,0.0999999999999999,-0.0142205039840035,-0.0028638265692961,0.0221989230213555,negative option leg,drawdown cushion with visible return cost,continuous_30d_daily_mtm
