surface_point_id,etf_code,strategy_name,moneyness_label,target_moneyness,avg_realized_moneyness,median_realized_moneyness,coverage,coverage_label,sample_start,sample_end,n_periods,selected_periods,option_sale_success_rate,assignment_frequency,avg_selected_delta,cumulative_return,annualized_return_cagr,annualized_volatility,sharpe_daily_mean,max_drawdown,calmar_ratio,premium_contribution_annualized,upside_cost_annualized,option_leg_annualized_pnl_contribution,total_net_option_contribution,source_note
mny_0001,510300,510300_DTE30_ATM_Q10_MonthlyHold,ATM,0.0,0.0004234820083331602,0.00027793218454696955,0.1,Q10,2022-09-19,2026-05-27,44,44,1.0,0.5,,0.291866598011282,0.07252599541473836,0.1919955018264258,0.37774840933672366,0.2122292446319587,0.34173422018492633,0.02075501064763767,0.018149063252581723,0.0025955698897321302,0.009517089595684477,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0115,510050,510050_DTE30_OTM4_Q50_MonthlyHold,OTM4,0.04,0.04024589045934381,0.041028267692112985,0.5,Q50,2022-09-19,2026-05-27,44,44,1.0,0.1590909090909091,,0.22334104232500995,0.0566623188423343,0.1733001312054487,0.32696062286970035,0.1639852051935049,0.3455331154750939,0.03645776414012198,0.017591752098145404,0.01884778315990652,0.06910853825299057,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0116,510050,510050_DTE30_OTM4_Q60_MonthlyHold,OTM4,0.04,0.04024589045934381,0.041028267692112985,0.6,Q60,2022-09-19,2026-05-27,44,44,1.0,0.1590909090909091,,0.24154463934596992,0.060938177740440524,0.1715744581665621,0.35517045131089725,0.15932286971907605,0.382482300550379,0.04374931696814638,0.02111010251777448,0.02261733979188782,0.08293024590358868,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0117,510050,510050_DTE30_OTM4_Q70_MonthlyHold,OTM4,0.04,0.04024589045934381,0.041028267692112985,0.7,Q70,2022-09-19,2026-05-27,44,44,1.0,0.1590909090909091,,0.259934109157143,0.06521169145790529,0.16994052559576103,0.38373243362224785,0.15463687298332096,0.4217085498420482,0.05104086979617077,0.024628452937403567,0.02638689642386912,0.09675195355418678,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0118,510050,510050_DTE30_OTM4_Q80_MonthlyHold,OTM4,0.04,0.04024589045934381,0.041028267692112985,0.8,Q80,2022-09-19,2026-05-27,44,44,1.0,0.1590909090909091,,0.2785098682812148,0.0694827298412719,0.1684010038855711,0.4126028244373507,0.14992710662568853,0.46344341196915173,0.05833242262419518,0.028146803357032645,0.030156453055850428,0.1105736612047849,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0119,510050,510050_DTE30_OTM4_Q90_MonthlyHold,OTM4,0.04,0.04024589045934381,0.041028267692112985,0.9,Q90,2022-09-19,2026-05-27,44,44,1.0,0.1590909090909091,,0.29727229980435754,0.07375116080672561,0.16695850473954077,0.4417334769605129,0.1451934618423263,0.5079509770682108,0.06562397545221958,0.03166515377666172,0.033926009687831736,0.12439536885538303,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0120,510050,510050_DTE30_OTM4_Q100_MonthlyHold,OTM4,0.04,0.04024589045934381,0.041028267692112985,1.0,Q100,2022-09-19,2026-05-27,44,44,1.0,0.1590909090909091,,0.31622175248801776,0.07801685032784,0.16561556335486372,0.471071973837831,0.14043582938448496,0.5555338026611828,0.07291552828024396,0.03518350419629081,0.03769556631981304,0.13821707650598114,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0121,510050,510050_DTE30_OTM5_Q10_MonthlyHold,OTM5,0.05,0.048160553387555274,0.047087214334067484,0.1,Q10,2022-09-19,2026-05-27,44,44,1.0,0.13636363636363635,,0.1505327447848428,0.03908310596728226,0.18131878996088133,0.21554912193995038,0.18271375605973916,0.21390346742422528,0.006178640667731347,0.002799541039291192,0.0033760103081062875,0.012378704463056387,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0122,510050,510050_DTE30_OTM5_Q20_MonthlyHold,OTM5,0.05,0.048160553387555274,0.047087214334067484,0.2,Q20,2022-09-19,2026-05-27,44,44,1.0,0.13636363636363635,,0.16611454079196974,0.04291183760162065,0.17949495556684184,0.2390698806331679,0.1784617506836388,0.24045397648088168,0.012357281335462694,0.005599082078582384,0.006752020616212575,0.024757408926112775,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0123,510050,510050_DTE30_OTM5_Q30_MonthlyHold,OTM5,0.05,0.048160553387555274,0.047087214334067484,0.3,Q30,2022-09-19,2026-05-27,44,44,1.0,0.13636363636363635,,0.1818401026150911,0.04673839007301206,0.17773961489144155,0.2629598927709986,0.17418962373340174,0.2683190253889373,0.01853592200319404,0.008398623117873575,0.010128030924318864,0.03713611338916917,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
mny_0124,510050,510050_DTE30_OTM5_Q40_MonthlyHold,OTM5,0.05,0.048160553387555274,0.047087214334067484,0.4,Q40,2022-09-19,2026-05-27,44,44,1.0,0.13636363636363635,,0.19770978656727212,0.050562688720359183,0.17605481668027279,0.28719855368787994,0.16989728930976,0.29760738929843855,0.024714562670925387,0.011198164157164767,0.01350404123242515,0.04951481785222555,ver3.0 Step A refined monthly DTE30 moneyness-target backtest from raw option chain; diagnostic layer only.
